Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2010,2ba050205,531953.140,632,46,841.700,38.440,21,3.279,61,18.232,0.079,0.156,-0.055,0.020,0.264
2010,2ba050206,278865.760,412,23,676.860,35.988,10,2.492,48,16.708,0.074,0.267,-0.048,0.156,0.191
2010,2ba050207,973965.920,1130,109,861.920,35.904,49,6.092,83,21.857,0.093,0.153,0.011,0.018,0.268
2010,2ba050208,954194.710,988,70,965.780,38.199,36,4.688,70,12.994,0.171,0.279,-0.110,0.066,0.299
2010,2ba050209,8138273.640,9741,912,835.470,35.745,188,42.721,271,60.247,0.215,0.177,0.081,0.071,0.313
2010,2ba060000,1948407.740,2119,142,919.490,37.166,61,5.244,104,16.936,0.129,0.127,0.002,0.025,0.289
2010,2ba060001,474468.180,887,17,534.910,37.736,13,1.264,57,13.073,0.091,0.171,0.017,0.048,0.233
2010,2ba060002,1564932.210,1896,260,825.390,35.109,73,14.371,128,33.119,0.188,0.207,0.057,0.077,0.283
2010,2ba060003,739009.260,1000,18,739.010,33.305,12,1.568,52,9.937,0.231,0.507,0.085,0.339,0.236
2010,2ba060004,221124.010,265,24,834.430,35.275,19,2.025,47,20.568,-0.274,0.393,-0.134,0.208,0.261
2010,2ba060005,406617.680,409,27,994.180,35.562,15,2.722,52,17.590,0.184,0.330,0.046,0.131,0.264
2010,2ba060006,2408844.320,3143,203,766.420,36.228,65,4.547,124,15.004,-0.247,0.195,-0.160,0.053,0.259
2010,2ba060100,6001080.200,5824,643,1030.410,35.165,126,17.680,207,35.550,0.264,0.223,0.066,0.082,0.408
2010,2ba060101,1072037.000,1201,69,892.620,37.974,42,2.837,71,13.351,0.254,0.356,0.084,0.171,0.276
2010,2ba060102,237161.470,328,15,723.050,36.561,12,1.611,36,11.471,0.022,0.889,-0.006,0.717,0.195
2010,2ba060103,976345.150,1362,70,716.850,37.816,36,3.044,76,14.266,0.183,0.190,0.067,0.060,0.205
2010,2ba060104,1499698.750,1791,85,837.350,36.042,37,3.110,103,16.606,0.299,0.359,0.132,0.182,0.248
2010,2ba060105,611857.680,754,25,811.480,33.816,16,2.194,64,13.400,3.152,0.328,3.128,0.181,0.244
2010,2ba060200,1029780.500,1390,55,740.850,34.489,26,3.165,92,14.827,0.077,0.540,-0.025,0.497,0.237
2010,2ba060201,5400936.350,6629,281,814.740,34.728,79,8.495,158,23.181,0.250,0.167,0.171,0.031,0.281
2010,2ba060202,1344896.610,1557,118,863.770,35.127,48,4.971,87,20.358,-0.062,0.212,-0.072,0.066,0.282
2010,2ba060203,30646820.940,28695,2226,1068.020,35.096,269,44.709,365,68.257,0.120,0.155,-0.006,0.041,0.402
2010,2ba060204,829853.430,1128,39,735.690,38.824,25,1.661,58,13.235,-0.081,0.034,-0.011,-0.058,0.259
2010,2ba060205,1932754.910,2450,241,788.880,36.221,75,7.923,132,30.030,0.175,0.231,0.049,0.094,0.252
2010,2ba060206,1369944.280,1604,86,854.080,37.777,47,3.397,98,23.296,0.040,0.054,-0.045,-0.040,0.309
2010,2ba060207,1676047.460,1546,121,1084.120,39.509,62,6.013,129,38.116,0.166,0.150,0.207,0.062,0.441
2010,2ba060300,995919.460,1055,24,944.000,36.384,15,2.483,73,16.759,0.275,0.286,0.158,0.170,0.331
2010,2ba060301,405202.280,415,20,976.390,37.810,16,1.723,44,13.602,0.295,0.247,0.169,0.054,0.308
2010,2ba060302,571564.090,709,32,806.160,38.519,21,2.336,67,19.286,-0.166,0.264,-0.180,0.084,0.238
2010,2ba060303,335731.880,474,13,708.300,38.928,11,1.293,49,17.875,0.175,0.557,0.040,0.313,0.149
2010,2ba060304,17021869.720,13522,992,1258.830,36.623,179,30.726,289,53.581,0.187,0.148,0.091,0.039,0.472
2010,2ba060305,348522.700,468,16,744.710,37.113,15,1.593,29,8.562,0.224,0.368,0.040,0.316,0.205
2010,2ce000000,1234879.150,1615,89,764.630,38.641,48,3.054,85,18.407,-0.005,0.275,0.077,0.116,0.337
2010,2ce000001,3444865.430,3833,278,898.740,37.869,90,7.232,153,25.617,0.080,0.335,-0.052,0.099,0.400
2010,2ce000002,8443378.000,11521,1026,732.870,33.757,178,39.106,286,59.657,-0.002,0.124,-0.017,0.040,0.272
2010,2ce000003,883150.780,1059,80,833.950,41.508,37,3.072,76,15.287,0.158,0.202,0.037,0.037,0.309
2010,2ce000004,864298.420,1181,41,731.840,37.225,18,1.664,76,16.304,-0.040,0.205,-0.133,0.064,0.342
2010,2ce000100,238528.800,382,10,624.420,41.838,10,1.392,39,12.540,0.047,0.176,0.008,-0.001,0.275
2010,2ce000101,412069.170,577,24,714.160,38.932,17,2.337,78,24.934,0.129,0.238,0.033,0.074,0.289
2010,2ce000102,1212228.150,1343,49,902.630,39.792,31,2.455,91,21.865,0.150,0.222,0.029,0.050,0.339
2010,2ce000103,251984.150,415,9,607.190,43.128,7,1.206,43,11.358,0.073,0.209,-0.304,0.045,0.463
2010,2ce000200,215236.230,446,12,482.590,39.513,8,1.247,19,5.054,0.087,0.154,-0.015,-0.010,0.318
2010,2ce000201,499252.160,761,34,656.050,40.351,23,1.748,51,14.841,0.046,0.185,0.019,0.031,0.279
2010,2ce000202,1291925.630,1495,83,864.160,36.913,38,4.697,110,32.662,0.262,0.255,0.069,0.097,0.324
2010,2ce000203,221073.340,541,5,408.640,37.116,4,1.053,34,8.846,0.636,0.485,0.011,0.308,0.563
2010,2ce000204,1350097.100,2545,158,530.490,37.697,70,5.262,129,37.125,0.179,0.211,0.105,0.127,0.298
2010,2ce010000,541016.730,1116,44,484.780,35.344,24,3.673,65,18.158,0.374,0.278,0.525,0.127,0.398
2010,2ce010001,650078.240,1083,15,600.260,33.440,12,1.275,68,18.736,0.249,0.272,0.096,0.144,0.394
2010,2ce010002,2503463.020,2987,152,838.120,36.596,57,10.052,164,47.027,0.280,0.189,0.130,0.044,0.329
2010,2ce010003,5094257.020,6019,527,846.360,34.688,137,32.384,257,54.405,0.153,0.159,0.059,0.038,0.317
2010,2ce010004,4018778.760,5094,254,788.920,38.860,89,5.944,178,32.512,0.157,0.151,0.068,0.034,0.356
2010,2ce010005,421728.100,688,29,612.980,38.272,18,1.958,46,5.511,0.189,0.258,0.063,0.039,0.421
2010,2ce010006,1611754.540,2162,115,745.490,35.373,44,7.222,115,19.281,-0.391,-0.014,-0.492,-0.139,0.265
2010,2ce010007,8699433.640,11668,554,745.580,32.040,128,14.522,240,39.077,0.150,0.215,0.090,0.098,0.290
2010,2ce010008,262347.710,341,30,769.350,39.842,20,2.883,49,21.779,-0.283,0.028,-0.308,-0.041,0.287
