Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2011,1ac000000,6911383.880,6749,583,1024.060,33.356,155,31.067,242,48.378,0.152,0.256,0.050,0.125,0.336
2011,1ac000001,625663.550,515,28,1214.880,37.037,20,2.947,54,24.636,0.029,0.180,-0.055,0.052,0.295
2011,1ac000002,1212564.320,1208,8,1003.780,32.541,5,1.101,33,5.360,0.624,0.257,0.543,0.152,0.277
2011,1ac000003,494178.490,461,5,1071.970,37.247,4,1.135,29,9.970,0.219,0.335,0.041,0.151,0.252
2011,1ac000004,748593.250,744,9,1006.170,35.620,6,1.177,24,6.616,0.144,0.246,0.079,0.137,0.242
2011,1ac000100,1757237.480,1623,126,1082.710,36.062,50,5.803,94,16.753,0.177,0.202,0.137,0.095,0.293
2011,1ac000101,437536.800,470,5,930.930,36.509,4,1.243,31,12.459,0.285,2.843,0.017,2.423,0.268
2011,1ac000102,653360.350,729,196,896.240,31.610,64,30.180,73,26.344,-0.569,-0.061,-0.481,-0.104,0.324
2011,1ac010000,450025.080,315,30,1428.650,38.438,17,3.811,46,19.110,0.207,0.207,-0.052,0.071,0.323
2011,1ac010001,1369381.150,1507,147,908.680,34.020,65,13.941,114,36.706,0.230,0.278,0.120,0.136,0.261
2011,1ac010002,1179926.480,1182,105,998.250,33.040,49,9.547,86,29.618,0.188,0.180,0.056,0.058,0.283
2011,1ac010003,775686.070,723,69,1072.870,37.739,30,7.119,82,35.726,-0.152,0.101,-0.268,-0.012,0.288
2011,1ac010100,390362.880,455,81,857.940,30.429,36,15.958,63,29.573,-0.521,0.036,-0.435,-0.040,0.242
2011,1ac010101,568252.490,605,61,939.260,36.873,17,4.222,47,16.678,0.041,0.116,-0.097,0.021,0.273
2011,1ac010102,720035.920,665,36,1082.760,35.665,21,5.120,79,28.280,0.089,0.210,-0.049,0.090,0.271
2011,1ac010103,1249280.240,1131,120,1104.580,35.576,42,7.086,89,28.937,0.363,0.468,0.243,0.276,0.303
2011,1ac010104,813370.830,691,53,1177.090,36.208,21,5.693,62,21.497,0.175,0.261,0.036,0.137,0.321
2011,1ac010105,187051239.070,96959,4179,1929.180,37.358,365,33.078,463,64.903,0.091,0.156,0.011,0.066,0.467
2011,1ac010106,1877717.930,1923,143,976.450,35.782,58,10.541,119,37.587,-0.024,0.131,-0.153,0.021,0.285
2011,1ac010200,636049.780,467,20,1361.990,35.919,17,1.653,39,11.693,-0.079,0.354,-0.133,0.214,0.337
2011,1ac010201,264402.320,199,4,1328.660,35.729,3,1.119,21,11.507,0.027,0.252,-0.034,0.191,0.334
2011,1ac010202,2393651.790,2000,240,1196.830,34.907,66,10.209,117,31.067,0.236,0.218,0.204,0.092,0.378
2011,1am000000,343752.280,347,4,990.640,39.219,3,1.173,32,12.974,-0.212,0.977,-0.239,1.033,0.302
2011,1am000001,647417.670,598,5,1082.640,38.398,4,1.179,47,13.843,0.102,0.917,0.033,0.829,0.367
2011,1am000002,47882.560,20,5,2394.130,39.150,5,3.686,9,6.802,0.633,0.122,0.250,-0.142,0.371
2011,1am000003,17048.810,18,2,947.160,36.722,2,1.569,9,7.608,-0.970,-0.443,-0.974,-0.508,0.320
2011,1am000004,14214692.710,6050,168,2349.540,37.510,63,5.802,189,44.840,-0.325,0.039,-0.029,0.036,0.613
2011,1am000005,906693.500,1007,11,900.390,39.306,8,1.279,55,15.653,0.010,0.183,-0.071,0.102,0.285
2011,1am000100,10367544.710,8892,412,1165.940,37.259,115,15.222,245,43.864,0.074,0.157,0.031,0.060,0.369
2011,1am000101,2955217.870,1948,11,1517.050,34.140,10,1.747,95,18.234,1.152,0.679,1.204,0.381,0.390
2011,1am000102,720210.600,951,21,757.320,39.052,15,1.827,44,9.519,-0.026,0.133,-0.059,0.054,0.178
2011,1am000103,475785.220,527,13,902.820,39.759,12,1.860,41,9.634,0.005,0.782,-0.058,0.717,0.304
2011,1am000104,604154.230,574,11,1052.530,41.704,8,1.477,50,16.168,0.056,0.186,-0.074,0.041,0.316
2011,1am000200,615058.710,640,26,961.030,40.644,19,2.416,74,20.672,0.093,0.243,0.265,0.113,0.236
2011,1am000201,1413060.180,1261,35,1120.590,37.294,20,2.024,80,17.688,0.059,0.165,-0.054,0.034,0.291
2011,1am000202,849750.940,904,6,939.990,38.397,5,1.171,38,5.036,0.088,0.153,0.037,0.069,0.272
2011,1am000203,2229699.400,2249,119,991.420,34.321,62,17.188,156,50.739,-0.201,0.087,-0.398,-0.030,0.303
2011,1am000204,5300121.160,4643,299,1141.530,34.790,96,17.987,189,40.239,0.073,0.230,-0.098,0.121,0.371
2011,1am000205,616530.170,646,6,954.380,38.220,6,1.209,63,19.184,0.532,0.072,0.482,-0.016,0.334
2011,1am000206,932054040.660,513938,15358,1813.550,35.681,528,90.328,556,99.530,0.141,0.136,0.053,0.061,0.466
2011,1am000300,1118315.660,1093,19,1023.160,38.759,15,1.404,55,12.959,0.238,0.228,0.100,0.095,0.322
2011,1am000301,168792.870,183,13,922.370,39.306,9,2.294,20,4.237,-0.512,0.061,-0.600,-0.062,0.277
2011,1am000302,3208289.350,2744,106,1169.200,37.653,56,3.431,114,22.762,0.632,0.208,0.205,0.052,0.347
2011,1am000303,871060.240,907,14,960.380,37.659,11,1.429,61,14.068,0.122,0.164,0.110,0.049,0.284
2011,1am000304,7441064.120,6934,369,1073.130,37.534,95,6.194,193,28.403,0.192,0.199,0.062,0.070,0.354
2011,1am000305,344358.800,385,13,894.440,37.312,9,1.643,37,12.062,-0.029,0.181,-0.078,0.149,0.229
2011,1am000306,913015.640,946,18,965.130,40.331,16,1.493,60,19.023,0.220,0.150,0.189,0.044,0.276
2011,1am000400,8339578.170,4942,155,1687.490,36.664,71,7.991,225,58.232,0.155,0.163,0.072,0.064,0.448
2011,1am000401,1463335.960,1519,110,963.360,35.708,57,12.810,138,39.294,-0.139,0.111,-0.282,0.020,0.283
2011,1am000500,269832.600,274,7,984.790,41.905,5,1.458,39,12.975,-0.401,0.641,-0.436,0.577,0.291
2011,1am000501,4451776.150,4018,214,1107.960,34.604,78,7.675,174,28.398,0.419,0.371,0.292,0.266,0.404
2011,1am000502,78909.930,65,5,1214.000,35.969,4,2.008,14,8.105,0.089,0.313,-0.085,0.231,0.414
2011,1am010000,450933.500,442,8,1020.210,37.853,5,1.367,13,1.566,0.647,0.168,0.081,0.024,0.318
2011,1am010001,703107.920,736,8,955.310,36.410,6,1.155,34,8.314,0.656,0.166,0.627,0.050,0.286
2011,1am010100,799518.490,1012,19,790.040,38.429,15,1.359,54,14.896,0.447,0.052,0.453,0.045,0.228
2011,1am010101,698451.800,704,29,992.120,37.920,22,3.157,89,26.947,0.350,0.150,0.224,0.047,0.340
2011,1am010102,228030.620,227,9,1004.540,40.344,7,1.721,29,10.239,0.156,0.165,0.129,0.022,0.329
2011,1am010103,2733368.600,2387,116,1145.110,35.780,48,3.074,115,13.841,0.101,0.185,-0.036,0.114,0.295
2011,1am020000,285293.820,287,5,994.060,39.003,4,1.181,25,8.877,-0.229,0.085,-0.198,0.028,0.378
2011,1am020001,704552.460,778,9,905.590,38.163,6,1.177,54,14.531,-0.188,0.161,-0.195,0.202,0.331
2011,1am020002,1897747.090,1785,37,1063.160,37.117,24,1.822,77,13.449,0.571,0.346,0.345,0.267,0.295
2011,1am020003,48031.180,17,4,2825.360,36.882,4,3.875,10,9.032,-0.930,-0.308,-0.981,-0.509,0.356
2011,1am020004,56919.510,52,9,1094.610,31.865,6,4.332,19,14.007,0.329,0.181,0.486,0.089,0.409
2011,1am020005,110542.960,80,13,1381.790,34.625,11,7.473,22,7.956,-0.843,-0.219,-0.880,-0.341,0.448
2011,1am020006,857854.790,879,10,975.940,36.198,8,1.319,49,10.466,2.790,0.940,2.567,1.000,0.279
2011,1am020007,2327067.480,2318,153,1003.910,37.947,69,8.388,100,21.233,0.413,0.238,0.285,0.154,0.373
2011,1am020008,48966.540,26,5,1883.330,37.692,5,3.873,11,7.774,-0.664,-0.159,-0.859,-0.368,0.372
2011,1am020100,1082371.280,975,23,1110.120,40.507,16,1.944,56,10.915,0.085,0.168,-0.004,0.040,0.306
2011,1am020101,1029152.620,1500,60,686.100,38.733,24,2.148,89,18.546,0.121,0.196,0.037,0.120,0.194
2011,1am020102,710646.960,714,11,995.300,40.346,8,1.325,40,9.529,0.053,0.072,-0.042,-0.012,0.285
2011,1am020103,621439.640,702,16,885.240,40.749,10,1.607,65,18.858,0.028,0.279,-0.047,0.129,0.272
2011,1am020104,377451.680,380,7,993.290,41.574,6,1.259,36,9.441,0.148,0.152,0.047,0.030,0.259
2011,1am020105,364944.420,413,5,883.640,39.579,4,1.174,33,11.377,0.112,0.256,0.067,0.169,0.221
2011,1am020106,630556.440,643,6,980.650,36.877,5,1.122,41,11.160,0.584,0.169,0.401,0.050,0.329
2011,1am030000,1668675.130,1792,88,931.180,38.343,40,4.372,110,29.300,0.192,0.148,0.059,0.066,0.326
2011,1am030001,933618.960,1090,6,856.530,38.714,5,1.075,52,14.858,0.349,0.443,0.234,0.330,0.281
2011,1am030100,916227.640,845,49,1084.290,36.666,32,3.173,73,20.706,0.223,0.206,0.057,0.065,0.266
2011,1am030101,1393442.760,1362,26,1023.090,38.413,18,1.914,89,25.281,0.047,0.205,-0.157,0.069,0.336
2011,1am030102,2108070.180,2142,228,984.160,37.262,84,12.210,140,37.554,0.126,0.149,0.039,0.032,0.310
