Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
110001;RO;Alta Floresta D'Oeste;17º;2.266º;0,3645;21º;2.132º;0,4002;16º;2.118º;0,4225;21º;2.211º;0,3666;22º;2.629º;0,2749;29º;2.852º;0,1953
110002;RO;Ariquemes;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;6º;1.147º;0,7873;3º;959º;0,9779;4º;1.193º;0,8431
110003;RO;Cabixi;12º;2.004º;0,4670;8º;1.350º;0,7213;11º;1.438º;0,7067;12º;1.635º;0,6011;13º;1.890º;0,5537;13º;1.961º;0,5162
110004;RO;Cacoal;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;5º;1.280º;0,8034
110005;RO;Cerejeiras;16º;2.264º;0,3652;9º;1.481º;0,6573;12º;1.589º;0,6412;15º;1.737º;0,5587;15º;1.947º;0,5313;12º;1.955º;0,5183
110006;RO;Colorado do Oeste;30º;2.664º;0,2092;26º;2.228º;0,3632;18º;2.165º;0,4050;14º;1.683º;0,5796;16º;2.339º;0,3838;25º;2.743º;0,2300
110007;RO;Corumbiara;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;916º;0,9934
110008;RO;Costa Marques;43º;3.303º;0,0000;43º;3.311º;0,0000;44º;3.310º;0,0269;33º;2.915º;0,1381;26º;2.819º;0,2047;44º;3.482º;0,0000
110009;RO;Espigão D'Oeste;21º;2.392º;0,3138;23º;2.158º;0,3904;29º;2.469º;0,2975;35º;2.981º;0,1202;25º;2.787º;0,2191;19º;2.278º;0,3950
110010;RO;Guajará-Mirim;15º;2.246º;0,3741;30º;2.428º;0,2919;19º;2.202º;0,3935;29º;2.451º;0,2848;39º;3.209º;0,0827;33º;2.866º;0,1885
110011;RO;Jaru;27º;2.536º;0,2606;32º;2.508º;0,2617;25º;2.304º;0,3578;18º;2.119º;0,3994;21º;2.542º;0,3114;16º;2.034º;0,4899
110012;RO;Ji-Paraná;1º;1º;1,0000;1º;1º;1,0000;7º;904º;0,9646;3º;934º;0,8921;6º;1.230º;0,8320;3º;1.149º;0,8657
110013;RO;Machadinho D'Oeste;42º;3.225º;0,0244;43º;3.311º;0,0000;37º;2.824º;0,1798;32º;2.811º;0,1718;41º;3.512º;0,0000;26º;2.773º;0,2186
110014;RO;Nova Brasilândia D'Oeste;36º;2.761º;0,1726;41º;3.105º;0,0669;43º;3.253º;0,0438;16º;1.766º;0,5442;32º;3.046º;0,1311;36º;3.001º;0,1426
110015;RO;Ouro Preto do Oeste;33º;2.704º;0,1960;22º;2.147º;0,3935;31º;2.572º;0,2652;44º;3.432º;0,0000;27º;2.822º;0,2020;34º;2.886º;0,1797
110018;RO;Pimenta Bueno;8º;1.165º;0,8403;7º;1.206º;0,7896;1º;1º;1,0000;8º;1.379º;0,6937;7º;1.239º;0,8273;7º;1.390º;0,7543
110020;RO;Porto Velho;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;5º;1.135º;0,7911;4º;1.021º;0,9393;8º;1.699º;0,6220
110025;RO;Presidente Médici;41º;2.970º;0,1073;29º;2.389º;0,3091;28º;2.447º;0,3051;27º;2.432º;0,2913;35º;3.120º;0,1088;28º;2.842º;0,1981
110026;RO;Rio Crespo;18º;2.278º;0,3596;16º;1.912º;0,4821;22º;2.254º;0,3751;22º;2.343º;0,3204;37º;3.163º;0,0941;38º;3.044º;0,1298
110028;RO;Rolim de Moura;7º;1.085º;0,8822;10º;1.550º;0,6263;8º;1.208º;0,8084;9º;1.446º;0,6616;11º;1.732º;0,6121;15º;1.997º;0,5033
110029;RO;Santa Luzia D'Oeste;39º;2.914º;0,1233;36º;2.763º;0,1732;13º;1.729º;0,5843;24º;2.390º;0,3073;24º;2.751º;0,2314;24º;2.604º;0,2795
110030;RO;Vilhena;9º;1.697º;0,5891;12º;1.653º;0,5808;9º;1.315º;0,7629;10º;1.466º;0,6562;8º;1.445º;0,7313;2º;1.086º;0,9011
110032;RO;São Miguel do Guaporé;13º;2.088º;0,4324;11º;1.577º;0,6126;10º;1.378º;0,7342;7º;1.297º;0,7241;9º;1.495º;0,7123;9º;1.743º;0,6032
110033;RO;Nova Mamoré;32º;2.694º;0,1989;42º;3.148º;0,0516;41º;3.159º;0,0756;37º;3.116º;0,0823;33º;3.058º;0,1283;37º;3.025º;0,1366
110034;RO;Alvorada D'Oeste;24º;2.470º;0,2840;20º;2.056º;0,4238;24º;2.297º;0,3597;20º;2.159º;0,3864;12º;1.796º;0,5906;14º;1.995º;0,5041
110037;RO;Alto Alegre dos Parecis;31º;2.677º;0,2046;39º;2.977º;0,1021;42º;3.176º;0,0685;40º;3.206º;0,0554;41º;3.512º;0,0000;32º;2.865º;0,1896
110040;RO;Alto Paraíso;43º;3.303º;0,0000;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110045;RO;Buritis;37º;2.884º;0,1323;25º;2.171º;0,3820;20º;2.225º;0,3868;23º;2.348º;0,3194;29º;2.913º;0,1739;27º;2.814º;0,2062
110050;RO;Novo Horizonte do Oeste;34º;2.707º;0,1949;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110060;RO;Cacaulândia;43º;3.303º;0,0000;14º;1.875º;0,4951;46º;3.416º;0,0000;41º;3.236º;0,0487;41º;3.512º;0,0000;21º;2.468º;0,3249
110070;RO;Campo Novo de Rondônia;10º;1.876º;0,5181;18º;1.981º;0,4531;15º;1.983º;0,4838;17º;1.804º;0,5270;18º;2.489º;0,3328;11º;1.893º;0,5378
110080;RO;Candeias do Jamari;43º;3.303º;0,0000;19º;1.988º;0,4511;39º;2.966º;0,1383;43º;3.334º;0,0256;41º;3.512º;0,0000;nd;nd;nd
110090;RO;Castanheiras;26º;2.488º;0,2788;37º;2.825º;0,1529;30º;2.531º;0,2795;30º;2.481º;0,2724;31º;2.933º;0,1667;35º;2.900º;0,1761
110092;RO;Chupinguaia;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;4º;969º;0,8746;5º;1.053º;0,9230;6º;1.294º;0,7972
110094;RO;Cujubim;25º;2.483º;0,2794;31º;2.444º;0,2873;34º;2.695º;0,2188;44º;3.432º;0,0000;41º;3.512º;0,0000;41º;3.258º;0,0601
110100;RO;Governador Jorge Teixeira;28º;2.538º;0,2600;nd;nd;nd;17º;2.139º;0,4129;26º;2.420º;0,2975;17º;2.340º;0,3836;22º;2.533º;0,3017
110110;RO;Itapuã do Oeste;43º;3.303º;0,0000;13º;1.774º;0,5337;27º;2.423º;0,3135;31º;2.729º;0,1989;34º;3.116º;0,1102;39º;3.127º;0,1042
110120;RO;Ministro Andreazza;43º;3.303º;0,0000;40º;3.010º;0,0930;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110130;RO;Mirante da Serra;29º;2.555º;0,2499;34º;2.564º;0,2400;32º;2.601º;0,2544;44º;3.432º;0,0000;36º;3.126º;0,1070;40º;3.196º;0,0823
110140;RO;Monte Negro;20º;2.367º;0,3248;33º;2.561º;0,2406;33º;2.673º;0,2297;39º;3.152º;0,0713;30º;2.925º;0,1700;30º;2.853º;0,1950
110143;RO;Nova União;40º;2.958º;0,1123;38º;2.873º;0,1386;35º;2.784º;0,1927;36º;3.105º;0,0848;38º;3.205º;0,0840;31º;2.864º;0,1896
110145;RO;Parecis;43º;3.303º;0,0000;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110146;RO;Pimenteiras do Oeste;35º;2.731º;0,1848;15º;1.911º;0,4821;21º;2.249º;0,3772;11º;1.570º;0,6226;23º;2.679º;0,2576;17º;2.132º;0,4469
110147;RO;Primavera de Rondônia;43º;3.303º;0,0000;43º;3.311º;0,0000;45º;3.353º;0,0169;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110148;RO;São Felipe D'Oeste;22º;2.410º;0,3066;17º;1.959º;0,4618;23º;2.273º;0,3693;28º;2.450º;0,2850;19º;2.500º;0,3279;23º;2.535º;0,3011
110149;RO;São Francisco do Guaporé;11º;1.880º;0,5155;28º;2.299º;0,3391;26º;2.386º;0,3289;19º;2.146º;0,3900;20º;2.513º;0,3235;20º;2.420º;0,3420
110150;RO;Seringueiras;23º;2.438º;0,2971;24º;2.162º;0,3893;14º;1.834º;0,5418;13º;1.643º;0,5976;10º;1.724º;0,6157;10º;1.818º;0,5696
110155;RO;Teixeirópolis;19º;2.336º;0,3374;35º;2.591º;0,2317;38º;2.849º;0,1727;25º;2.393º;0,3058;14º;1.911º;0,5481;18º;2.154º;0,4409
110160;RO;Theobroma;43º;3.303º;0,0000;nd;nd;nd;36º;2.795º;0,1884;42º;3.316º;0,0287;41º;3.512º;0,0000;44º;3.482º;0,0000
110170;RO;Urupá;43º;3.303º;0,0000;43º;3.311º;0,0000;46º;3.416º;0,0000;44º;3.432º;0,0000;41º;3.512º;0,0000;44º;3.482º;0,0000
110175;RO;Vale do Anari;38º;2.886º;0,1322;nd;nd;nd;46º;3.416º;0,0000;38º;3.143º;0,0749;40º;3.310º;0,0532;43º;3.447º;0,0081
110180;RO;Vale do Paraíso;14º;2.141º;0,4120;27º;2.284º;0,3453;40º;2.990º;0,1306;34º;2.972º;0,1225;28º;2.871º;0,1870;42º;3.307º;0,0463
120001;AC;Acrelândia;nd;nd;nd;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;12º;3.482º;0,0000
120005;AC;Assis Brasil;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;5º;2.779º;0,1810;7º;3.512º;0,0000;7º;2.803º;0,2085
120010;AC;Brasiléia;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;3º;1.934º;0,5254
120013;AC;Bujari;6º;3.303º;0,0000;6º;3.311º;0,0000;7º;3.188º;0,0630;7º;3.197º;0,0598;7º;3.512º;0,0000;11º;3.350º;0,0359
120017;AC;Capixaba;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;12º;3.482º;0,0000
120020;AC;Cruzeiro do Sul;3º;1.900º;0,5073;4º;1.922º;0,4772;3º;2.199º;0,3941;6º;2.885º;0,1478;7º;3.512º;0,0000;12º;3.482º;0,0000
120025;AC;Epitaciolândia;6º;3.303º;0,0000;nd;nd;nd;8º;3.416º;0,0000;8º;3.345º;0,0232;7º;3.512º;0,0000;10º;3.229º;0,0689
120030;AC;Feijó;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;nd;nd;nd
120032;AC;Jordão;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;12º;3.482º;0,0000
120033;AC;Mâncio Lima;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;9º;3.094º;0,1154
120034;AC;Manoel Urbano;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;6º;3.289º;0,0574;4º;2.357º;0,3631
120035;AC;Marechal Thaumaturgo;6º;3.303º;0,0000;6º;3.311º;0,0000;nd;nd;nd;9º;3.432º;0,0000;7º;3.512º;0,0000;12º;3.482º;0,0000
120038;AC;Plácido de Castro;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;nd;nd;nd
120039;AC;Porto Walter;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;nd;nd;nd
120040;AC;Rio Branco;1º;1º;1,0000;1º;1.271º;0,7619;1º;1.311º;0,7651;1º;924º;0,8962;1º;1.085º;0,9065;1º;1.098º;0,8956
120042;AC;Rodrigues Alves;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;12º;3.482º;0,0000
120043;AC;Santa Rosa do Purus;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;nd;nd;nd
120045;AC;Senador Guiomard;4º;2.259º;0,3667;3º;1.725º;0,5541;4º;2.207º;0,3918;2º;1.955º;0,4686;3º;2.029º;0,5011;6º;2.702º;0,2451
120050;AC;Sena Madureira;5º;3.203º;0,0292;nd;nd;nd;6º;3.084º;0,0955;9º;3.432º;0,0000;4º;2.560º;0,3048;8º;2.895º;0,1779
120060;AC;Tarauacá;6º;3.303º;0,0000;5º;2.876º;0,1362;5º;2.523º;0,2809;4º;2.724º;0,2000;5º;3.145º;0,0987;5º;2.539º;0,3004
120070;AC;Xapuri;2º;1.624º;0,6164;2º;1.719º;0,5559;2º;2.191º;0,3965;3º;1.986º;0,4545;2º;1.472º;0,7202;2º;1.394º;0,7527
120080;AC;Porto Acre;6º;3.303º;0,0000;6º;3.311º;0,0000;8º;3.416º;0,0000;9º;3.432º;0,0000;7º;3.512º;0,0000;12º;3.482º;0,0000
130002;AM;Alvarães;9º;1.724º;0,5753;14º;2.155º;0,3913;28º;3.032º;0,1151;13º;2.508º;0,2665;15º;2.640º;0,2712;28º;3.021º;0,1378
130006;AM;Amaturá;7º;1.522º;0,6652;20º;2.344º;0,3254;17º;2.662º;0,2329;14º;2.521º;0,2639;47º;3.512º;0,0000;44º;3.482º;0,0000
130008;AM;Anamã;20º;2.234º;0,3789;4º;1.672º;0,5756;5º;1.991º;0,4805;5º;2.019º;0,4421;9º;2.403º;0,3641;38º;3.253º;0,0611
130010;AM;Anori;31º;2.607º;0,2305;34º;2.766º;0,1729;40º;3.416º;0,0000;22º;2.681º;0,2146;47º;3.512º;0,0000;44º;3.482º;0,0000
130014;AM;Apuí;53º;3.303º;0,0000;38º;2.991º;0,0984;40º;3.416º;0,0000;37º;3.301º;0,0319;21º;2.920º;0,1715;34º;3.199º;0,0811
130020;AM;Atalaia do Norte;53º;3.303º;0,0000;22º;2.390º;0,3091;34º;3.081º;0,0971;11º;2.489º;0,2717;16º;2.703º;0,2499;nd;nd;nd
130030;AM;Autazes;37º;2.877º;0,1341;17º;2.218º;0,3666;40º;3.416º;0,0000;40º;3.432º;0,0000;36º;3.359º;0,0398;36º;3.246º;0,0621
130040;AM;Barcelos;10º;1.773º;0,5540;6º;1.803º;0,5229;33º;3.080º;0,0972;30º;3.094º;0,0874;31º;3.250º;0,0681;44º;3.482º;0,0000
130050;AM;Barreirinha;52º;3.297º;0,0020;46º;3.191º;0,0399;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;44º;3.482º;0,0000
130060;AM;Benjamin Constant;45º;3.128º;0,0524;49º;3.311º;0,0000;40º;3.416º;0,0000;40º;3.432º;0,0000;39º;3.384º;0,0323;40º;3.379º;0,0275
130063;AM;Beruri;33º;2.620º;0,2257;47º;3.208º;0,0332;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;44º;3.482º;0,0000
130068;AM;Boa Vista do Ramos;48º;3.157º;0,0433;36º;2.955º;0,1077;40º;3.416º;0,0000;40º;3.432º;0,0000;27º;3.037º;0,1344;44º;3.482º;0,0000
130070;AM;Boca do Acre;39º;2.882º;0,1327;42º;3.096º;0,0703;40º;3.416º;0,0000;40º;3.432º;0,0000;44º;3.467º;0,0118;44º;3.482º;0,0000
130080;AM;Borba;43º;3.121º;0,0540;33º;2.730º;0,1838;22º;2.876º;0,1646;23º;2.686º;0,2129;25º;3.000º;0,1468;32º;3.163º;0,0944
130083;AM;Caapiranga;41º;3.108º;0,0583;35º;2.933º;0,1159;40º;3.416º;0,0000;40º;3.432º;0,0000;nd;nd;nd;44º;3.482º;0,0000
130090;AM;Canutama;19º;2.221º;0,3831;15º;2.204º;0,3730;14º;2.454º;0,3021;7º;2.300º;0,3309;13º;2.617º;0,2782;17º;2.579º;0,2879
130100;AM;Carauari;14º;1.970º;0,4826;13º;2.123º;0,4031;39º;3.262º;0,0401;32º;3.117º;0,0823;32º;3.265º;0,0635;20º;2.740º;0,2307
130110;AM;Careiro;35º;2.782º;0,1663;23º;2.403º;0,3046;30º;3.044º;0,1105;nd;nd;nd;35º;3.324º;0,0493;25º;2.891º;0,1791
130115;AM;Careiro da Várzea;38º;2.880º;0,1336;45º;3.186º;0,0403;38º;3.164º;0,0742;39º;3.431º;0,0005;28º;3.102º;0,1126;27º;2.966º;0,1527
130120;AM;Coari;50º;3.234º;0,0190;49º;3.311º;0,0000;3º;978º;0,9188;40º;3.432º;0,0000;24º;2.938º;0,1644;15º;2.500º;0,3148
130130;AM;Codajás;32º;2.618º;0,2259;40º;3.044º;0,0849;32º;3.065º;0,1020;31º;3.101º;0,0857;42º;3.415º;0,0227;44º;3.482º;0,0000
130140;AM;Eirunepé;11º;1.786º;0,5479;5º;1.751º;0,5431;18º;2.740º;0,2057;10º;2.423º;0,2962;47º;3.512º;0,0000;44º;3.482º;0,0000
130150;AM;Envira;44º;3.125º;0,0533;49º;3.311º;0,0000;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;44º;3.482º;0,0000
130160;AM;Fonte Boa;46º;3.131º;0,0513;49º;3.311º;0,0000;29º;3.039º;0,1120;34º;3.141º;0,0750;47º;3.512º;0,0000;44º;3.482º;0,0000
130165;AM;Guajará;51º;3.287º;0,0065;49º;3.311º;0,0000;40º;3.416º;0,0000;38º;3.393º;0,0108;33º;3.269º;0,0625;31º;3.139º;0,1011
130170;AM;Humaitá;16º;2.066º;0,4418;31º;2.686º;0,1994;8º;2.265º;0,3720;12º;2.490º;0,2715;10º;2.444º;0,3502;12º;2.433º;0,3381
130180;AM;Ipixuna;47º;3.138º;0,0492;43º;3.174º;0,0454;21º;2.831º;0,1773;17º;2.598º;0,2370;22º;2.932º;0,1672;21º;2.793º;0,2112
130185;AM;Iranduba;53º;3.303º;0,0000;49º;3.311º;0,0000;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;24º;2.878º;0,1837
130190;AM;Itacoatiara;5º;1.380º;0,7234;3º;1.116º;0,8351;4º;1.415º;0,7167;3º;1.132º;0,7925;4º;1.877º;0,5585;3º;1.384º;0,7560
130195;AM;Itamarati;6º;1.458º;0,6895;nd;nd;nd;9º;2.330º;0,3503;6º;2.049º;0,4286;5º;2.288º;0,4045;5º;2.176º;0,4321
130200;AM;Itapiranga;1º;1º;1,0000;7º;1.840º;0,5088;10º;2.370º;0,3348;4º;2.006º;0,4470;12º;2.586º;0,2944;7º;2.255º;0,4043
130210;AM;Japurá;15º;2.019º;0,4585;49º;3.311º;0,0000;26º;3.007º;0,1216;24º;2.809º;0,1722;6º;2.304º;0,4002;19º;2.670º;0,2565
130220;AM;Juruá;12º;1.877º;0,5166;11º;1.996º;0,4487;35º;3.101º;0,0895;40º;3.432º;0,0000;11º;2.528º;0,3182;11º;2.432º;0,3381
130230;AM;Jutaí;25º;2.414º;0,3054;8º;1.927º;0,4758;11º;2.387º;0,3286;9º;2.361º;0,3146;14º;2.633º;0,2736;10º;2.355º;0,3637
130240;AM;Lábrea;36º;2.785º;0,1650;41º;3.045º;0,0849;27º;3.021º;0,1180;35º;3.252º;0,0458;34º;3.316º;0,0516;nd;nd;nd
130250;AM;Manacapuru;18º;2.171º;0,4000;18º;2.316º;0,3357;15º;2.558º;0,2683;19º;2.624º;0,2306;26º;3.012º;0,1419;8º;2.302º;0,3819
130255;AM;Manaquiri;40º;3.057º;0,0763;44º;3.180º;0,0416;40º;3.416º;0,0000;40º;3.432º;0,0000;38º;3.370º;0,0365;43º;3.438º;0,0111
130260;AM;Manaus;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
130270;AM;Manicoré;30º;2.601º;0,2318;27º;2.573º;0,2373;31º;3.048º;0,1088;25º;2.880º;0,1484;29º;3.142º;0,0991;39º;3.260º;0,0596
130280;AM;Maraã;28º;2.499º;0,2762;32º;2.692º;0,1956;36º;3.132º;0,0819;8º;2.305º;0,3301;23º;2.936º;0,1659;18º;2.639º;0,2673
130290;AM;Maués;24º;2.406º;0,3087;37º;2.970º;0,1053;12º;2.426º;0,3122;18º;2.618º;0,2320;45º;3.469º;0,0113;26º;2.896º;0,1771
130300;AM;Nhamundá;53º;3.303º;0,0000;49º;3.311º;0,0000;40º;3.416º;0,0000;36º;3.271º;0,0395;47º;3.512º;0,0000;44º;3.482º;0,0000
130310;AM;Nova Olinda do Norte;49º;3.163º;0,0417;48º;3.227º;0,0242;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;37º;3.252º;0,0611
130320;AM;Novo Airão;34º;2.661º;0,2101;10º;1.960º;0,4611;19º;2.752º;0,2026;29º;3.013º;0,1108;37º;3.362º;0,0390;13º;2.480º;0,3197
130330;AM;Novo Aripuanã;26º;2.422º;0,3026;30º;2.670º;0,2042;40º;3.416º;0,0000;20º;2.666º;0,2187;41º;3.412º;0,0233;22º;2.817º;0,2055
130340;AM;Parintins;22º;2.254º;0,3704;19º;2.340º;0,3270;7º;2.259º;0,3742;nd;nd;nd;18º;2.851º;0,1936;9º;2.330º;0,3721
130350;AM;Pauini;17º;2.090º;0,4319;nd;nd;nd;nd;nd;nd;28º;3.011º;0,1111;20º;2.868º;0,1882;14º;2.491º;0,3172
130353;AM;Presidente Figueiredo;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
130356;AM;Rio Preto da Eva;23º;2.351º;0,3313;26º;2.544º;0,2476;37º;3.156º;0,0760;40º;3.432º;0,0000;19º;2.860º;0,1907;30º;3.084º;0,1185
130360;AM;Santa Isabel do Rio Negro;nd;nd;nd;39º;2.994º;0,0976;nd;nd;nd;nd;nd;nd;47º;3.512º;0,0000;44º;3.482º;0,0000
130370;AM;Santo Antônio do Içá;42º;3.115º;0,0555;49º;3.311º;0,0000;40º;3.416º;0,0000;40º;3.432º;0,0000;43º;3.457º;0,0134;41º;3.407º;0,0203
130380;AM;São Gabriel da Cachoeira;53º;3.303º;0,0000;49º;3.311º;0,0000;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;44º;3.482º;0,0000
130390;AM;São Paulo de Olivença;53º;3.303º;0,0000;49º;3.311º;0,0000;40º;3.416º;0,0000;40º;3.432º;0,0000;47º;3.512º;0,0000;44º;3.482º;0,0000
130395;AM;São Sebastião do Uatumã;13º;1.956º;0,4885;25º;2.498º;0,2667;16º;2.622º;0,2470;33º;3.134º;0,0764;17º;2.743º;0,2336;16º;2.523º;0,3064
130400;AM;Silves;1º;1º;1,0000;12º;2.062º;0,4211;6º;2.154º;0,4087;16º;2.583º;0,2439;8º;2.393º;0,3665;6º;2.229º;0,4161
130406;AM;Tabatinga;53º;3.303º;0,0000;49º;3.311º;0,0000;nd;nd;nd;nd;nd;nd;47º;3.512º;0,0000;35º;3.245º;0,0627
130410;AM;Tapauá;53º;3.303º;0,0000;9º;1.955º;0,4637;24º;2.908º;0,1563;40º;3.432º;0,0000;3º;1.583º;0,6772;33º;3.171º;0,0929
130420;AM;Tefé;21º;2.244º;0,3751;16º;2.210º;0,3710;25º;2.931º;0,1482;26º;2.955º;0,1274;30º;3.183º;0,0894;42º;3.433º;0,0117
130423;AM;Tonantins;29º;2.528º;0,2647;28º;2.628º;0,2199;23º;2.887º;0,1627;40º;3.432º;0,0000;46º;3.472º;0,0109;29º;3.046º;0,1291
130426;AM;Uarini;nd;nd;nd;29º;2.666º;0,2052;nd;nd;nd;21º;2.680º;0,2148;40º;3.410º;0,0233;23º;2.841º;0,1982
130430;AM;Urucará;8º;1.595º;0,6340;24º;2.464º;0,2813;13º;2.446º;0,3054;15º;2.556º;0,2516;7º;2.347º;0,3827;4º;1.922º;0,5311
130440;AM;Urucurituba;27º;2.459º;0,2867;21º;2.357º;0,3212;20º;2.768º;0,1963;27º;2.963º;0,1258;47º;3.512º;0,0000;44º;3.482º;0,0000
140002;RR;Amajari;8º;3.303º;0,0000;nd;nd;nd;4º;3.416º;0,0000;nd;nd;nd;7º;3.512º;0,0000;6º;3.482º;0,0000
140005;RR;Alto Alegre;nd;nd;nd;5º;3.311º;0,0000;nd;nd;nd;nd;nd;nd;7º;3.512º;0,0000;3º;3.019º;0,1396
140010;RR;Boa Vista;2º;2.149º;0,4078;1º;2.194º;0,3761;1º;2.372º;0,3338;3º;3.188º;0,0614;1º;2.411º;0,3606;1º;1.943º;0,5234
140015;RR;Bonfim;8º;3.303º;0,0000;5º;3.311º;0,0000;4º;3.416º;0,0000;2º;3.031º;0,1055;2º;3.008º;0,1433;6º;3.482º;0,0000
140017;RR;Cantá;8º;3.303º;0,0000;5º;3.311º;0,0000;nd;nd;nd;nd;nd;nd;4º;3.222º;0,0775;6º;3.482º;0,0000
140020;RR;Caracaraí;3º;2.559º;0,2485;3º;2.723º;0,1853;3º;3.231º;0,0517;nd;nd;nd;3º;3.174º;0,0916;2º;2.624º;0,2730
140023;RR;Caroebe;6º;3.091º;0,0647;nd;nd;nd;4º;3.416º;0,0000;4º;3.432º;0,0000;7º;3.512º;0,0000;4º;3.311º;0,0456
140028;RR;Iracema;8º;3.303º;0,0000;5º;3.311º;0,0000;nd;nd;nd;nd;nd;nd;7º;3.512º;0,0000;5º;3.455º;0,0062
140030;RR;Mucajaí;1º;1.913º;0,5014;nd;nd;nd;4º;3.416º;0,0000;4º;3.432º;0,0000;7º;3.512º;0,0000;6º;3.482º;0,0000
140040;RR;Normandia;nd;nd;nd;5º;3.311º;0,0000;4º;3.416º;0,0000;4º;3.432º;0,0000;7º;3.512º;0,0000;6º;3.482º;0,0000
140045;RR;Pacaraima;8º;3.303º;0,0000;5º;3.311º;0,0000;4º;3.416º;0,0000;4º;3.432º;0,0000;7º;3.512º;0,0000;6º;3.482º;0,0000
140047;RR;Rorainópolis;5º;3.082º;0,0672;4º;2.792º;0,1615;4º;3.416º;0,0000;4º;3.432º;0,0000;7º;3.512º;0,0000;6º;3.482º;0,0000
140050;RR;São João da Baliza;4º;2.795º;0,1617;2º;2.596º;0,2301;2º;2.777º;0,1943;1º;2.488º;0,2717;5º;3.402º;0,0267;nd;nd;nd
140060;RR;São Luiz;7º;3.280º;0,0073;nd;nd;nd;nd;nd;nd;4º;3.432º;0,0000;6º;3.429º;0,0204;6º;3.482º;0,0000
140070;RR;Uiramutã;nd;nd;nd;nd;nd;nd;4º;3.416º;0,0000;4º;3.432º;0,0000;7º;3.512º;0,0000;6º;3.482º;0,0000
150010;PA;Abaetetuba;53º;3.303º;0,0000;56º;3.294º;0,0052;40º;3.017º;0,1187;36º;2.949º;0,1283;57º;3.386º;0,0319;59º;3.470º;0,0029
