Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
330045;RJ;Belford Roxo;66º;2.087º;0,4325;65º;2.209º;0,3715;77º;2.419º;0,3150;85º;3.202º;0,0572;75º;2.549º;0,3092;65º;2.455º;0,3300
330050;RJ;Bom Jardim;24º;934º;0,9632;26º;1.148º;0,8169;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;22º;1.112º;0,8885
330060;RJ;Bom Jesus do Itabapoana;50º;1.492º;0,6765;48º;1.764º;0,5359;52º;1.662º;0,6149;69º;2.358º;0,3155;65º;2.207º;0,4310;48º;2.002º;0,5020
330070;RJ;Cabo Frio;73º;2.243º;0,3752;79º;2.635º;0,2176;54º;1.698º;0,6021;1º;1º;1,0000;55º;2.013º;0,5071;nd;nd;nd
330080;RJ;Cachoeiras de Macacu;62º;1.979º;0,4783;45º;1.670º;0,5763;50º;1.610º;0,6323;53º;1.746º;0,5534;51º;1.771º;0,5972;49º;2.015º;0,4960
330090;RJ;Cambuci;49º;1.475º;0,6828;83º;3.311º;0,0000;85º;3.278º;0,0356;66º;2.308º;0,3295;74º;2.533º;0,3162;nd;nd;nd
330093;RJ;Carapebus;86º;3.303º;0,0000;83º;3.311º;0,0000;87º;3.416º;0,0000;86º;3.432º;0,0000;87º;3.512º;0,0000;76º;3.427º;0,0141
330095;RJ;Comendador Levy Gasparian;31º;1.071º;0,8877;nd;nd;nd;28º;1.023º;0,8948;35º;1.215º;0,7602;17º;923º;0,9995;18º;937º;0,9815
330100;RJ;Campos dos Goytacazes;86º;3.303º;0,0000;83º;3.311º;0,0000;87º;3.416º;0,0000;86º;3.432º;0,0000;39º;1.479º;0,7173;63º;2.338º;0,3688
330110;RJ;Cantagalo;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
