Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
110001;RO;Alta Floresta D'Oeste;34º;2.772º;0,4585;32º;3.304º;0,5055;40º;3.485º;0,3332;22º;1.953º;0,5450;1º;1º;1,0000;33º;3.055º;0,3725
110002;RO;Ariquemes;42º;3.923º;0,3004;23º;2.469º;0,6471;22º;1.546º;0,6133;16º;1.603º;0,6140;16º;1.535º;0,4567;8º;1.190º;0,6778
110003;RO;Cabixi;19º;1.906º;0,6131;35º;3.340º;0,4987;9º;642º;0,8888;46º;4.115º;0,2393;44º;4.657º;0,1244;12º;1.460º;0,6203
110004;RO;Cacoal;17º;1.482º;0,6902;1º;1º;1,0000;1º;1º;1,0000;11º;1.169º;0,7238;11º;1.132º;0,5362;32º;3.036º;0,3752
110005;RO;Cerejeiras;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;15º;1.413º;0,4785;3º;883º;0,7679
110006;RO;Colorado do Oeste;30º;2.468º;0,5059;29º;3.098º;0,5407;37º;3.174º;0,3731;44º;4.057º;0,2478;24º;2.246º;0,3527;13º;1.463º;0,6195
110007;RO;Corumbiara;29º;2.392º;0,5186;1º;1º;1,0000;16º;836º;0,8069;37º;3.238º;0,3548;28º;2.796º;0,2891;22º;2.574º;0,4326
110008;RO;Costa Marques;21º;1.979º;0,5980;34º;3.323º;0,5013;24º;1.802º;0,5682;47º;4.533º;0,1798;51º;5.356º;0,0327;18º;2.175º;0,4904
110009;RO;Espigão D'Oeste;39º;3.642º;0,3367;41º;3.758º;0,4295;19º;1.275º;0,6738;18º;1.732º;0,5871;50º;5.152º;0,0683;40º;3.455º;0,3284
110010;RO;Guajará-Mirim;13º;1.051º;0,8102;31º;3.195º;0,5254;52º;5.237º;0,0711;48º;4.547º;0,1775;52º;5.360º;0,0311;47º;4.841º;0,1607
110011;RO;Jaru;45º;4.124º;0,2700;42º;3.809º;0,4227;48º;4.236º;0,2429;38º;3.250º;0,3534;34º;3.145º;0,2568;36º;3.125º;0,3660
110012;RO;Ji-Paraná;20º;1.928º;0,6086;18º;1.708º;0,8065;11º;650º;0,8863;24º;2.015º;0,5328;17º;1.546º;0,4547;27º;2.825º;0,4003
110013;RO;Machadinho D'Oeste;38º;3.556º;0,3490;27º;2.944º;0,5673;46º;4.135º;0,2541;31º;2.401º;0,4705;18º;1.737º;0,4236;28º;2.839º;0,3985
110014;RO;Nova Brasilândia D'Oeste;28º;2.382º;0,5201;49º;5.124º;0,1413;36º;3.163º;0,3738;35º;3.028º;0,3825;20º;2.017º;0,3822;23º;2.659º;0,4220
110015;RO;Ouro Preto do Oeste;46º;4.158º;0,2652;47º;4.553º;0,2944;42º;3.769º;0,2990;34º;2.831º;0,4068;36º;3.383º;0,2319;34º;3.058º;0,3716
110018;RO;Pimenta Bueno;33º;2.750º;0,4616;30º;3.113º;0,5378;15º;811º;0,8163;6º;574º;0,9766;31º;2.894º;0,2804;46º;4.526º;0,2064
110020;RO;Porto Velho;51º;5.183º;0,0814;48º;4.909º;0,2128;38º;3.211º;0,3687;49º;4.565º;0,1748;48º;4.850º;0,1048;42º;3.995º;0,2693
110025;RO;Presidente Médici;4º;587º;0,9900;45º;4.163º;0,3691;32º;2.784º;0,4221;20º;1.809º;0,5731;32º;2.930º;0,2775;31º;3.020º;0,3769
110026;RO;Rio Crespo;31º;2.617º;0,4823;1º;1º;1,0000;21º;1.482º;0,6264;8º;754º;0,8768;9º;998º;0,5649;21º;2.446º;0,4504
110028;RO;Rolim de Moura;48º;4.693º;0,1872;44º;4.147º;0,3712;43º;3.975º;0,2753;39º;3.355º;0,3397;41º;4.139º;0,1673;51º;5.164º;0,1004
110029;RO;Santa Luzia D'Oeste;10º;1.015º;0,8220;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;40º;3.946º;0,1840;14º;1.810º;0,5483
110030;RO;Vilhena;16º;1.392º;0,7110;36º;3.396º;0,4902;45º;4.112º;0,2573;45º;4.105º;0,2414;22º;2.132º;0,3684;26º;2.781º;0,4050
110032;RO;São Miguel do Guaporé;27º;2.306º;0,5355;17º;1.634º;0,8214;14º;741º;0,8480;1º;1º;1,0000;23º;2.178º;0,3624;17º;2.123º;0,4990
110033;RO;Nova Mamoré;37º;3.303º;0,3836;14º;1.395º;0,8823;10º;646º;0,8869;21º;1.906º;0,5537;13º;1.221º;0,5183;30º;2.963º;0,3839
110034;RO;Alvorada D'Oeste;41º;3.884º;0,3056;25º;2.573º;0,6262;35º;3.068º;0,3859;40º;3.425º;0,3310;39º;3.817º;0,1935;10º;1.298º;0,6551
110037;RO;Alto Alegre dos Parecis;9º;886º;0,8637;1º;1º;1,0000;30º;2.635º;0,4429;42º;3.688º;0,2976;29º;2.821º;0,2868;9º;1.219º;0,6699
110040;RO;Alto Paraíso;14º;1.106º;0,7925;22º;2.191º;0,6989;41º;3.554º;0,3254;33º;2.623º;0,4369;30º;2.886º;0,2811;35º;3.060º;0,3715
110045;RO;Buritis;50º;5.169º;0,0851;43º;3.904º;0,4084;50º;4.861º;0,1540;17º;1.640º;0,6085;5º;873º;0,5995;45º;4.480º;0,2140
110050;RO;Novo Horizonte do Oeste;22º;2.017º;0,5910;20º;1.856º;0,7768;25º;1.905º;0,5544;41º;3.533º;0,3153;12º;1.172º;0,5299;41º;3.778º;0,2952
110060;RO;Cacaulândia;1º;1º;1,0000;28º;3.058º;0,5478;1º;1º;1,0000;27º;2.148º;0,5100;4º;744º;0,6382;2º;575º;0,9024
110070;RO;Campo Novo de Rondônia;18º;1.862º;0,6225;21º;1.916º;0,7638;33º;2.829º;0,4170;26º;2.071º;0,5226;37º;3.437º;0,2273;37º;3.250º;0,3509
110080;RO;Candeias do Jamari;44º;4.113º;0,2728;26º;2.871º;0,5791;23º;1.551º;0,6123;51º;4.817º;0,1328;33º;3.125º;0,2580;nd;nd;nd
110090;RO;Castanheiras;5º;623º;0,9701;1º;1º;1,0000;28º;2.358º;0,4827;29º;2.278º;0,4907;49º;5.091º;0,0759;20º;2.282º;0,4757
110092;RO;Chupinguaia;43º;3.968º;0,2937;37º;3.406º;0,4885;39º;3.279º;0,3589;10º;1.044º;0,7643;2º;425º;0,7756;16º;2.109º;0,5007
110094;RO;Cujubim;47º;4.543º;0,2108;38º;3.471º;0,4772;34º;2.854º;0,4139;23º;1.966º;0,5420;25º;2.405º;0,3327;11º;1.340º;0,6482
110100;RO;Governador Jorge Teixeira;36º;3.225º;0,3942;nd;nd;nd;20º;1.321º;0,6631;32º;2.539º;0,4494;19º;1.869º;0,4030;25º;2.712º;0,4146
110110;RO;Itapuã do Oeste;24º;2.092º;0,5744;24º;2.559º;0,6294;18º;1.168º;0,7007;19º;1.762º;0,5812;10º;1.128º;0,5369;38º;3.284º;0,3465
110120;RO;Ministro Andreazza;6º;747º;0,9187;33º;3.305º;0,5053;29º;2.624º;0,4439;36º;3.051º;0,3795;46º;4.788º;0,1111;19º;2.219º;0,4842
110130;RO;Mirante da Serra;32º;2.641º;0,4775;39º;3.476º;0,4761;51º;5.109º;0,1060;52º;5.012º;0,0887;35º;3.321º;0,2379;43º;4.176º;0,2471
110140;RO;Monte Negro;11º;1.022º;0,8208;40º;3.563º;0,4606;26º;1.983º;0,5391;14º;1.472º;0,6415;43º;4.637º;0,1258;44º;4.221º;0,2433
110143;RO;Nova União;35º;3.027º;0,4225;15º;1.508º;0,8524;27º;2.089º;0,5229;7º;644º;0,9300;3º;672º;0,6645;49º;4.891º;0,1533
110145;RO;Parecis;40º;3.702º;0,3274;1º;1º;1,0000;6º;466º;0,9877;28º;2.191º;0,5021;26º;2.469º;0,3257;15º;1.842º;0,5435
110146;RO;Pimenteiras do Oeste;49º;4.832º;0,1639;46º;4.531º;0,2987;8º;604º;0,9075;50º;4.759º;0,1439;27º;2.541º;0,3174;4º;912º;0,7593
110147;RO;Primavera de Rondônia;15º;1.376º;0,7152;12º;1.087º;0,9733;13º;695º;0,8661;43º;3.855º;0,2747;42º;4.426º;0,1435;48º;4.875º;0,1553
110148;RO;São Felipe D'Oeste;25º;2.096º;0,5737;1º;1º;1,0000;1º;1º;1,0000;12º;1.400º;0,6617;47º;4.818º;0,1089;50º;4.970º;0,1436
110149;RO;São Francisco do Guaporé;23º;2.056º;0,5812;1º;1º;1,0000;17º;842º;0,8031;1º;1º;1,0000;6º;894º;0,5948;39º;3.303º;0,3445
110150;RO;Seringueiras;7º;807º;0,8982;1º;1º;1,0000;12º;659º;0,8825;1º;1º;1,0000;38º;3.734º;0,2009;24º;2.704º;0,4159
110155;RO;Teixeirópolis;1º;1º;1,0000;13º;1.264º;0,9158;31º;2.681º;0,4363;30º;2.332º;0,4840;7º;938º;0,5829;1º;1º;1,0000
110160;RO;Theobroma;12º;1.050º;0,8104;nd;nd;nd;44º;4.109º;0,2575;25º;2.030º;0,5305;8º;987º;0,5682;7º;1.080º;0,7053
110170;RO;Urupá;8º;829º;0,8894;16º;1.588º;0,8319;7º;543º;0,9393;9º;894º;0,8124;14º;1.351º;0,4908;6º;1.063º;0,7098
110175;RO;Vale do Anari;52º;5.214º;0,0721;nd;nd;nd;47º;4.208º;0,2458;15º;1.600º;0,6153;21º;2.037º;0,3800;29º;2.928º;0,3889
110180;RO;Vale do Paraíso;26º;2.236º;0,5510;19º;1.844º;0,7790;49º;4.423º;0,2166;13º;1.435º;0,6508;45º;4.781º;0,1117;5º;999º;0,7282
120001;AC;Acrelândia;nd;nd;nd;19º;4.749º;0,2554;17º;3.296º;0,3565;15º;2.145º;0,5103;17º;3.525º;0,2195;17º;4.448º;0,2187
120005;AC;Assis Brasil;13º;3.122º;0,4091;18º;4.665º;0,2728;8º;816º;0,8150;6º;925º;0,8043;21º;5.113º;0,0728;11º;2.272º;0,4770
120010;AC;Brasiléia;12º;3.114º;0,4099;6º;1.380º;0,8871;1º;1º;1,0000;11º;1.511º;0,6338;11º;1.683º;0,4317;13º;2.945º;0,3864
120013;AC;Bujari;19º;4.194º;0,2601;11º;3.126º;0,5351;6º;667º;0,8790;16º;2.557º;0,4471;22º;5.376º;0,0256;4º;1.145º;0,6882
120017;AC;Capixaba;11º;3.106º;0,4109;20º;4.832º;0,2331;13º;2.405º;0,4767;14º;1.992º;0,5372;15º;3.266º;0,2438;16º;4.439º;0,2201
120020;AC;Cruzeiro do Sul;1º;1º;1,0000;1º;1º;1,0000;9º;1.403º;0,6432;7º;1.113º;0,7407;4º;1.107º;0,5414;5º;1.288º;0,6562
120025;AC;Epitaciolândia;16º;3.483º;0,3614;nd;nd;nd;16º;2.877º;0,4108;1º;1º;1,0000;9º;1.458º;0,4712;9º;1.822º;0,5459
120030;AC;Feijó;20º;4.965º;0,1367;16º;3.880º;0,4112;18º;4.253º;0,2403;21º;3.833º;0,2767;14º;3.165º;0,2549;nd;nd;nd
120032;AC;Jordão;15º;3.170º;0,4014;8º;2.194º;0,6986;1º;1º;1,0000;17º;3.070º;0,3779;8º;1.394º;0,4820;18º;4.477º;0,2148
120033;AC;Mâncio Lima;1º;1º;1,0000;13º;3.608º;0,4544;12º;2.039º;0,5316;1º;1º;1,0000;10º;1.632º;0,4385;1º;524º;0,9343
120034;AC;Manoel Urbano;17º;3.689º;0,3296;14º;3.620º;0,4527;19º;4.390º;0,2216;18º;3.140º;0,3669;13º;2.889º;0,2809;2º;1.037º;0,7187
120035;AC;Marechal Thaumaturgo;1º;1º;1,0000;10º;3.055º;0,5482;nd;nd;nd;19º;3.316º;0,3445;7º;1.296º;0,5022;10º;1.932º;0,5299
120038;AC;Plácido de Castro;18º;3.840º;0,3119;1º;1º;1,0000;14º;2.439º;0,4712;9º;1.148º;0,7302;20º;4.701º;0,1202;nd;nd;nd
120039;AC;Porto Walter;8º;1.565º;0,6757;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;nd;nd;nd
120040;AC;Rio Branco;4º;746º;0,9187;1º;1º;1,0000;1º;1º;1,0000;10º;1.190º;0,7143;5º;1.177º;0,5294;8º;1.726º;0,5655
120042;AC;Rodrigues Alves;7º;1.487º;0,6896;17º;4.312º;0,3409;7º;707º;0,8610;5º;784º;0,8659;6º;1.185º;0,5278;3º;1.058º;0,7127
120043;AC;Santa Rosa do Purus;6º;854º;0,8776;12º;3.447º;0,4808;20º;4.509º;0,2062;22º;5.071º;0,0748;19º;4.125º;0,1687;nd;nd;nd
120045;AC;Senador Guiomard;9º;1.655º;0,6579;1º;1º;1,0000;11º;1.865º;0,5601;4º;661º;0,9235;16º;3.354º;0,2346;15º;3.251º;0,3509
120050;AC;Sena Madureira;10º;2.338º;0,5284;nd;nd;nd;21º;4.595º;0,1946;20º;3.749º;0,2890;1º;1º;1,0000;7º;1.724º;0,5659
120060;AC;Tarauacá;21º;5.168º;0,0852;7º;1.412º;0,8770;5º;465º;0,9880;12º;1.606º;0,6131;18º;3.867º;0,1898;6º;1.584º;0,5921
120070;AC;Xapuri;14º;3.161º;0,4027;9º;2.881º;0,5778;10º;1.536º;0,6154;8º;1.120º;0,7396;3º;760º;0,6337;14º;3.002º;0,3786
120080;AC;Porto Acre;5º;757º;0,9149;15º;3.737º;0,4325;15º;2.741º;0,4277;13º;1.867º;0,5611;12º;2.093º;0,3725;12º;2.448º;0,4502
130002;AM;Alvarães;1º;1º;1,0000;1º;1º;1,0000;13º;776º;0,8351;9º;554º;0,9920;52º;4.681º;0,1221;38º;3.211º;0,3556
130006;AM;Amaturá;55º;5.143º;0,0939;48º;3.725º;0,4351;16º;863º;0,7971;18º;1.661º;0,6032;4º;537º;0,7196;27º;2.032º;0,5131
130008;AM;Anamã;24º;1.582º;0,6730;19º;1.011º;0,9965;14º;859º;0,7978;1º;1º;1,0000;28º;2.181º;0,3610;6º;646º;0,8652
130010;AM;Anori;1º;1º;1,0000;24º;1.589º;0,8317;51º;4.958º;0,1386;30º;2.738º;0,4219;32º;2.436º;0,3292;48º;4.029º;0,2644
130014;AM;Apuí;49º;4.706º;0,1850;33º;2.391º;0,6605;17º;986º;0,7481;19º;1.683º;0,5985;43º;3.893º;0,1880;47º;3.957º;0,2741
130020;AM;Atalaia do Norte;40º;3.691º;0,3296;29º;2.138º;0,7114;30º;2.734º;0,4282;37º;3.910º;0,2679;37º;3.149º;0,2563;nd;nd;nd
130030;AM;Autazes;32º;2.329º;0,5309;56º;5.015º;0,1801;43º;3.663º;0,3127;52º;4.927º;0,1093;34º;2.696º;0,3007;9º;739º;0,8221
130040;AM;Barcelos;16º;647º;0,9594;54º;4.420º;0,3219;44º;3.684º;0,3106;17º;1.284º;0,6891;58º;4.871º;0,1024;50º;4.149º;0,2498
130050;AM;Barreirinha;1º;1º;1,0000;1º;1º;1,0000;20º;1.695º;0,5867;20º;1.718º;0,5906;49º;4.217º;0,1613;41º;3.328º;0,3425
130060;AM;Benjamin Constant;48º;4.630º;0,1972;25º;1.640º;0,8193;29º;2.684º;0,4362;29º;2.474º;0,4583;23º;1.914º;0,3969;30º;2.106º;0,5015
130063;AM;Beruri;1º;1º;1,0000;1º;1º;1,0000;45º;3.800º;0,2951;24º;1.990º;0,5378;30º;2.340º;0,3408;58º;4.763º;0,1737
130068;AM;Boa Vista do Ramos;56º;5.149º;0,0908;51º;4.214º;0,3587;50º;4.845º;0,1569;44º;4.388º;0,1976;40º;3.603º;0,2122;43º;3.506º;0,3239
130070;AM;Boca do Acre;59º;5.247º;0,0572;32º;2.307º;0,6768;40º;3.392º;0,3465;58º;5.253º;0,0009;60º;5.236º;0,0548;36º;2.743º;0,4112
130080;AM;Borba;18º;789º;0,9040;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;13º;1.224º;0,5173;33º;2.262º;0,4784
130083;AM;Caapiranga;1º;1º;1,0000;22º;1.233º;0,9261;42º;3.434º;0,3397;33º;3.131º;0,3677;nd;nd;nd;8º;714º;0,8322
130090;AM;Canutama;17º;652º;0,9557;28º;2.121º;0,7167;31º;2.780º;0,4225;49º;4.659º;0,1600;31º;2.401º;0,3331;3º;472º;0,9697
130100;AM;Carauari;1º;1º;1,0000;1º;1º;1,0000;12º;753º;0,8447;10º;699º;0,9028;29º;2.193º;0,3592;1º;1º;1,0000
130110;AM;Careiro;1º;1º;1,0000;1º;1º;1,0000;8º;513º;0,9539;nd;nd;nd;44º;4.009º;0,1794;53º;4.379º;0,2269
130115;AM;Careiro da Várzea;39º;3.622º;0,3392;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;15º;1.366º;0,4862;37º;3.102º;0,3687
130120;AM;Coari;33º;2.400º;0,5170;60º;5.228º;0,0576;49º;4.644º;0,1891;48º;4.658º;0,1602;39º;3.199º;0,2515;16º;1.169º;0,6825
130130;AM;Codajás;53º;4.877º;0,1540;50º;4.137º;0,3720;47º;4.213º;0,2452;51º;4.900º;0,1141;51º;4.564º;0,1317;17º;1.199º;0,6764
130140;AM;Eirunepé;26º;1.618º;0,6669;59º;5.187º;0,1075;57º;5.309º;0,0369;57º;5.214º;0,0279;20º;1.694º;0,4301;13º;1.048º;0,7163
130150;AM;Envira;1º;1º;1,0000;1º;1º;1,0000;32º;2.813º;0,4188;16º;1.152º;0,7291;26º;1.992º;0,3851;35º;2.731º;0,4121
130160;AM;Fonte Boa;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;22º;1.739º;0,4235;46º;3.810º;0,2916
130165;AM;Guajará;36º;3.152º;0,4045;44º;3.068º;0,5455;54º;5.225º;0,0757;47º;4.602º;0,1686;53º;4.686º;0,1215;56º;4.628º;0,1944
130170;AM;Humaitá;21º;1.213º;0,7606;27º;2.083º;0,7270;9º;555º;0,9330;26º;2.196º;0,5017;47º;4.100º;0,1709;26º;2.027º;0,5142
130180;AM;Ipixuna;34º;2.879º;0,4429;58º;5.123º;0,1416;52º;5.011º;0,1278;43º;4.385º;0,1979;46º;4.055º;0,1745;52º;4.283º;0,2361
130185;AM;Iranduba;41º;3.764º;0,3205;46º;3.510º;0,4705;36º;3.141º;0,3766;41º;4.230º;0,2239;59º;5.044º;0,0823;40º;3.293º;0,3460
130190;AM;Itacoatiara;30º;2.280º;0,5411;1º;1º;1,0000;24º;1.904º;0,5544;46º;4.557º;0,1763;41º;3.611º;0,2116;57º;4.717º;0,1805
130195;AM;Itamarati;1º;1º;1,0000;nd;nd;nd;1º;1º;1,0000;14º;1.104º;0,7443;10º;1.030º;0,5576;12º;976º;0,7354
130200;AM;Itapiranga;44º;3.975º;0,2927;35º;2.455º;0,6503;18º;1.107º;0,7189;53º;4.934º;0,1075;57º;4.827º;0,1076;15º;1.131º;0,6920
130210;AM;Japurá;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;5º;576º;0,7013;28º;2.044º;0,5111
130220;AM;Juruá;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;16º;1.482º;0,4665;25º;1.985º;0,5210
130230;AM;Jutaí;57º;5.150º;0,0908;36º;2.592º;0,6226;48º;4.508º;0,2067;31º;2.930º;0,3949;56º;4.800º;0,1104;49º;4.058º;0,2613
130240;AM;Lábrea;27º;1.756º;0,6403;43º;3.059º;0,5473;53º;5.166º;0,0963;35º;3.210º;0,3589;25º;1.973º;0,3879;nd;nd;nd
130250;AM;Manacapuru;29º;1.995º;0,5952;21º;1.180º;0,9430;21º;1.738º;0,5791;28º;2.423º;0,4670;8º;853º;0,6039;32º;2.158º;0,4932
130255;AM;Manaquiri;47º;4.420º;0,2279;45º;3.101º;0,5405;27º;2.454º;0,4696;50º;4.747º;0,1462;14º;1.295º;0,5024;55º;4.550º;0,2044
130260;AM;Manaus;19º;1.080º;0,7989;23º;1.334º;0,8964;15º;862º;0,7973;12º;920º;0,8053;7º;791º;0,6245;18º;1.245º;0,6642
130270;AM;Manicoré;1º;1º;1,0000;1º;1º;1,0000;11º;648º;0,8867;1º;1º;1,0000;2º;220º;0,9388;19º;1.254º;0,6628
130280;AM;Maraã;15º;641º;0,9619;1º;1º;1,0000;38º;3.292º;0,3567;54º;5.016º;0,0876;21º;1.729º;0,4242;5º;597º;0,8900
130290;AM;Maués;38º;3.570º;0,3458;26º;1.704º;0,8074;41º;3.419º;0,3413;34º;3.132º;0,3675;27º;2.108º;0,3713;45º;3.609º;0,3145
130300;AM;Nhamundá;1º;1º;1,0000;1º;1º;1,0000;7º;463º;0,9906;11º;869º;0,8255;19º;1.678º;0,4328;34º;2.376º;0,4607
130310;AM;Nova Olinda do Norte;35º;3.072º;0,4147;40º;2.867º;0,5794;10º;643º;0,8882;22º;1.878º;0,5593;11º;1.059º;0,5528;22º;1.378º;0,6391
130320;AM;Novo Airão;54º;4.908º;0,1489;49º;3.954º;0,4012;33º;2.859º;0,4136;32º;3.108º;0,3712;18º;1.628º;0,4395;44º;3.520º;0,3229
130330;AM;Novo Aripuanã;28º;1.991º;0,5956;55º;4.767º;0,2523;25º;1.986º;0,5388;13º;1.049º;0,7623;36º;2.869º;0,2825;31º;2.135º;0,4970
130340;AM;Parintins;45º;4.108º;0,2735;53º;4.349º;0,3334;39º;3.329º;0,3532;nd;nd;nd;54º;4.729º;0,1170;24º;1.829º;0,5454
130350;AM;Pauini;42º;3.817º;0,3150;nd;nd;nd;nd;nd;nd;21º;1.829º;0,5680;50º;4.242º;0,1593;51º;4.276º;0,2368
130353;AM;Presidente Figueiredo;51º;4.784º;0,1706;47º;3.694º;0,4417;37º;3.284º;0,3579;39º;3.998º;0,2547;55º;4.787º;0,1112;42º;3.405º;0,3344
130356;AM;Rio Preto da Eva;31º;2.290º;0,5398;31º;2.277º;0,6818;58º;5.333º;0,0159;42º;4.363º;0,2022;1º;1º;1,0000;1º;1º;1,0000
130360;AM;Santa Isabel do Rio Negro;nd;nd;nd;1º;1º;1,0000;nd;nd;nd;nd;nd;nd;45º;4.047º;0,1760;7º;704º;0,8379
130370;AM;Santo Antônio do Içá;20º;1.211º;0,7606;1º;1º;1,0000;35º;3.078º;0,3845;36º;3.442º;0,3283;9º;882º;0,5966;29º;2.059º;0,5087
130380;AM;São Gabriel da Cachoeira;52º;4.867º;0,1559;42º;3.021º;0,5535;28º;2.507º;0,4594;40º;4.156º;0,2341;35º;2.746º;0,2961;60º;5.138º;0,1063
130390;AM;São Paulo de Olivença;23º;1.497º;0,6872;20º;1.113º;0,9644;19º;1.155º;0,7041;1º;1º;1,0000;33º;2.456º;0,3272;23º;1.542º;0,6008
130395;AM;São Sebastião do Uatumã;50º;4.776º;0,1718;1º;1º;1,0000;34º;3.014º;0,3914;27º;2.327º;0,4847;12º;1.083º;0,5484;4º;480º;0,9647
130400;AM;Silves;43º;3.836º;0,3123;30º;2.207º;0,6953;22º;1.847º;0,5627;55º;5.036º;0,0839;6º;609º;0,6898;11º;783º;0,8042
130406;AM;Tabatinga;37º;3.337º;0,3793;41º;2.998º;0,5576;nd;nd;nd;nd;nd;nd;42º;3.780º;0,1964;39º;3.219º;0,3548
130410;AM;Tapauá;60º;5.248º;0,0572;57º;5.061º;0,1665;56º;5.252º;0,0638;56º;5.103º;0,0666;38º;3.154º;0,2560;59º;4.986º;0,1411
130420;AM;Tefé;22º;1.327º;0,7283;52º;4.306º;0,3423;46º;3.888º;0,2845;15º;1.105º;0,7442;24º;1.937º;0,3933;20º;1.281º;0,6577
130423;AM;Tonantins;25º;1.616º;0,6672;34º;2.408º;0,6573;23º;1.867º;0,5599;38º;3.941º;0,2634;17º;1.622º;0,4409;10º;772º;0,8097
130426;AM;Uarini;nd;nd;nd;39º;2.823º;0,5844;nd;nd;nd;23º;1.895º;0,5563;3º;474º;0,7528;54º;4.513º;0,2088
130430;AM;Urucará;46º;4.273º;0,2495;37º;2.647º;0,6130;55º;5.236º;0,0713;25º;2.135º;0,5116;61º;5.315º;0,0392;21º;1.312º;0,6511
130440;AM;Urucurituba;58º;5.151º;0,0907;38º;2.656º;0,6114;26º;2.393º;0,4788;45º;4.431º;0,1920;48º;4.179º;0,1648;14º;1.124º;0,6942
140002;RR;Amajari;1º;1º;1,0000;nd;nd;nd;4º;495º;0,9623;nd;nd;nd;8º;1.190º;0,5270;1º;1º;1,0000
140005;RR;Alto Alegre;nd;nd;nd;9º;3.821º;0,4207;nd;nd;nd;nd;nd;nd;6º;557º;0,7112;11º;1.087º;0,7035
140010;RR;Boa Vista;9º;3.214º;0,3954;6º;2.597º;0,6221;5º;566º;0,9248;6º;713º;0,8963;5º;371º;0,8119;12º;1.177º;0,6794
140015;RR;Bonfim;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
140017;RR;Cantá;12º;5.025º;0,1232;5º;1.561º;0,8382;nd;nd;nd;nd;nd;nd;7º;1.076º;0,5493;1º;1º;1,0000
140020;RR;Caracaraí;5º;1.275º;0,7409;7º;3.289º;0,5079;9º;1.872º;0,5587;nd;nd;nd;12º;4.054º;0,1745;14º;4.404º;0,2245
140023;RR;Caroebe;10º;3.701º;0,3275;nd;nd;nd;7º;759º;0,8414;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
140028;RR;Iracema;3º;655º;0,9545;8º;3.736º;0,4328;nd;nd;nd;nd;nd;nd;13º;4.663º;0,1241;1º;1º;1,0000
140030;RR;Mucajaí;11º;4.613º;0,1999;nd;nd;nd;8º;936º;0,7683;7º;1.946º;0,5466;10º;1.638º;0,4377;1º;1º;1,0000
140040;RR;Normandia;nd;nd;nd;1º;1º;1,0000;10º;2.558º;0,4530;5º;626º;0,9372;11º;3.002º;0,2702;1º;1º;1,0000
140045;RR;Pacaraima;6º;1.283º;0,7380;4º;1.485º;0,8576;1º;1º;1,0000;8º;2.042º;0,5289;15º;5.291º;0,0442;13º;1.234º;0,6677
140047;RR;Rorainópolis;8º;3.123º;0,4087;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
140050;RR;São João da Baliza;7º;2.799º;0,4539;10º;5.141º;0,1348;6º;654º;0,8851;10º;3.290º;0,3482;9º;1.601º;0,4439;nd;nd;nd
140060;RR;São Luiz;4º;705º;0,9325;nd;nd;nd;nd;nd;nd;1º;1º;1,0000;14º;5.083º;0,0773;1º;1º;1,0000
140070;RR;Uiramutã;nd;nd;nd;nd;nd;nd;11º;5.318º;0,0312;9º;2.443º;0,4626;1º;1º;1,0000;10º;994º;0,7302
150010;PA;Abaetetuba;90º;3.726º;0,3246;68º;2.490º;0,6434;52º;1.824º;0,5652;58º;3.347º;0,3407;87º;3.784º;0,1960;71º;2.371º;0,4616
150013;PA;Abel Figueiredo;51º;1.878º;0,6197;1º;1º;1,0000;1º;1º;1,0000;25º;1.379º;0,6659;52º;2.315º;0,3443;27º;614º;0,8814
150020;PA;Acará;31º;1.018º;0,8218;1º;1º;1,0000;64º;2.399º;0,4773;61º;3.589º;0,3096;61º;2.817º;0,2874;80º;2.621º;0,4264
150030;PA;Afuá;112º;5.002º;0,1283;nd;nd;nd;102º;5.155º;0,0987;89º;5.139º;0,0538;68º;3.021º;0,2678;38º;1.237º;0,6662
150034;PA;Água Azul do Norte;nd;nd;nd;77º;2.820º;0,5850;34º;1.156º;0,7034;nd;nd;nd;20º;802º;0,6219;1º;1º;1,0000
