Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
231050;CE;Pedra Branca;1º;1º;1,0000;50º;1.624º;0,8235;25º;573º;0,9229;158º;4.754º;0,1453;59º;1.890º;0,4006;63º;1.613º;0,5864
231060;CE;Penaforte;120º;3.537º;0,3522;88º;2.604º;0,6216;180º;5.254º;0,0635;131º;3.978º;0,2589;174º;5.191º;0,0639;nd;nd;nd
231070;CE;Pentecoste;147º;4.278º;0,2489;143º;4.065º;0,3829;108º;2.595º;0,4486;102º;2.858º;0,4035;71º;2.241º;0,3532;29º;689º;0,8457
231080;CE;Pereiro;109º;3.364º;0,3764;108º;3.145º;0,5324;114º;2.803º;0,4199;152º;4.537º;0,1793;20º;648º;0,6722;1º;1º;1,0000
231085;CE;Pindoretama;164º;4.691º;0,1874;112º;3.177º;0,5283;130º;3.241º;0,3647;51º;1.381º;0,6655;41º;1.291º;0,5031;118º;3.082º;0,3704
231090;CE;Piquet Carneiro;44º;1.682º;0,6531;1º;1º;1,0000;1º;1º;1,0000;25º;687º;0,9115;11º;285º;0,8670;19º;453º;0,9767
231095;CE;Pires Ferreira;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
231100;CE;Poranga;91º;2.936º;0,4338;58º;1.711º;0,8060;124º;3.046º;0,3888;101º;2.822º;0,4090;17º;588º;0,6976;75º;1.927º;0,5302
231110;CE;Porteiras;43º;1.617º;0,6671;1º;1º;1,0000;37º;814º;0,8153;1º;1º;1,0000;86º;2.680º;0,3017;88º;2.359º;0,4635
231120;CE;Potengi;37º;1.386º;0,7125;43º;1.428º;0,8726;106º;2.577º;0,4506;34º;973º;0,7843;1º;1º;1,0000;1º;1º;1,0000
231123;CE;Potiretama;1º;1º;1,0000;63º;1.879º;0,7721;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
231126;CE;Quiterianópolis;21º;784º;0,9056;1º;1º;1,0000;51º;1.138º;0,7089;1º;1º;1,0000;27º;813º;0,6175;53º;1.325º;0,6499
231130;CE;Quixadá;151º;4.439º;0,2252;161º;4.529º;0,2996;161º;4.621º;0,1921;161º;4.957º;0,1032;169º;5.035º;0,0833;169º;4.857º;0,1589
231135;CE;Quixelô;136º;3.992º;0,2900;30º;1.137º;0,9544;35º;807º;0,8180;41º;1.155º;0,7282;nd;nd;nd;95º;2.431º;0,4520
231140;CE;Quixeramobim;55º;2.000º;0,5942;68º;1.995º;0,7461;39º;882º;0,7914;1º;1º;1,0000;19º;641º;0,6760;77º;1.940º;0,5284
231150;CE;Quixeré;119º;3.524º;0,3547;33º;1.216º;0,9328;27º;611º;0,9032;22º;560º;0,9894;28º;820º;0,6153;52º;1.321º;0,6502
231160;CE;Redenção;172º;4.918º;0,1465;150º;4.228º;0,3552;147º;3.817º;0,2936;177º;5.209º;0,0295;175º;5.225º;0,0558;110º;2.931º;0,3889
231170;CE;Reriutaba;140º;4.090º;0,2756;47º;1.527º;0,8478;71º;1.853º;0,5621;67º;2.048º;0,5283;91º;2.816º;0,2877;27º;681º;0,8487
231180;CE;Russas;141º;4.105º;0,2739;91º;2.654º;0,6118;56º;1.245º;0,6807;87º;2.603º;0,4399;57º;1.845º;0,4069;62º;1.553º;0,5976
231190;CE;Saboeiro;87º;2.856º;0,4451;123º;3.489º;0,4743;181º;5.274º;0,0547;nd;nd;nd;90º;2.787º;0,2909;119º;3.114º;0,3671
