Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2004,1ac000000,1541579.460,3172,331,486.000,34.378,104,26.243,164,34.265,0.187,,0.101,,0.344
2004,1ac000001,153689.030,295,14,520.980,35.824,10,1.850,14,1.907,0.455,,0.405,,0.269
2004,1ac000002,199381.350,401,2,497.210,32.354,1,1.000,30,9.932,0.104,,0.090,,0.239
2004,1ac000003,1755.560,5,3,351.110,31.000,3,2.586,3,2.872,-0.978,,-0.982,,
2004,1ac000004,115135.230,202,6,569.980,36.649,5,1.161,12,4.231,0.053,,0.010,,0.232
2004,1ac000100,406513.250,859,61,473.240,35.915,36,3.695,66,16.867,0.079,,0.049,,0.306
2004,1ac000101,615.000,2,1,307.500,28.000,1,1.000,1,1.000,-0.961,,-0.969,,
2004,1ac000102,664341.970,1202,98,552.700,34.228,41,5.045,63,13.348,0.158,,0.079,,0.329
2004,1ac010000,119955.980,224,19,535.520,36.165,16,5.014,31,7.919,0.240,,0.217,,0.269
2004,1ac010001,274198.960,661,91,414.820,34.834,48,10.679,61,22.064,0.303,,0.264,,0.263
2004,1ac010002,397293.010,870,70,456.660,31.930,32,5.834,67,23.938,0.635,,0.402,,0.322
2004,1ac010003,270545.650,524,45,516.310,39.000,24,4.392,62,30.866,0.300,,0.092,,0.279
2004,1ac010100,272083.020,603,40,451.220,31.499,17,5.266,62,19.455,0.214,,0.124,,0.251
2004,1ac010101,175492.130,366,24,479.490,34.361,11,3.448,34,16.452,0.122,,-0.011,,0.282
2004,1ac010102,191214.180,359,16,532.630,32.156,9,2.581,54,21.982,0.582,,0.244,,0.246
2004,1ac010103,281064.540,607,47,463.040,33.583,23,4.074,47,12.893,0.113,,0.053,,0.271
2004,1ac010104,100747.760,205,14,491.450,34.073,9,2.818,29,11.215,2.199,,1.628,,0.235
2004,1ac010105,62517857.880,61146,2696,1022.440,37.423,255,18.552,407,46.331,0.139,,0.069,,0.479
2004,1ac010106,379362.420,724,88,523.980,35.840,38,11.197,72,17.166,0.104,,-0.011,,0.302
2004,1ac010200,87753.900,118,3,743.680,39.508,2,1.126,11,4.589,-0.050,,-0.079,,0.252
2004,1ac010201,47118.680,81,3,581.710,36.198,2,1.069,3,1.200,-0.191,,0.000,,0.320
2004,1ac010202,600029.420,1105,108,543.010,33.722,42,5.990,72,19.437,0.255,,0.187,,0.365
2004,1am000000,9829.370,10,2,982.940,39.200,2,1.649,5,3.893,0.034,,0.000,,0.194
2004,1am000001,17300.540,14,2,1235.750,40.786,2,1.819,6,5.108,0.271,,0.077,,0.250
2004,1am000002,9510.000,10,2,951.000,35.400,2,1.649,7,5.743,-0.047,,-0.167,,0.160
2004,1am000003,159867.070,425,4,376.160,38.449,4,1.150,29,6.285,0.019,,0.024,,0.249
2004,1am000004,7068835.730,2879,71,2455.310,38.649,40,5.394,112,23.969,0.194,,-0.105,,0.693
2004,1am000005,156213.000,377,7,414.360,37.780,5,1.572,27,11.055,0.298,,0.564,,0.323
2004,1am000100,3834412.580,6508,246,589.180,34.178,81,11.049,224,40.543,0.200,,0.031,,0.389
2004,1am000101,95450.470,214,7,446.030,38.514,7,1.868,16,6.664,0.106,,-0.101,,0.266
2004,1am000102,174732.300,416,15,420.030,36.046,12,1.955,42,13.202,-0.074,,-0.211,,0.200
2004,1am000103,13724.920,21,5,653.570,37.762,5,3.659,7,4.721,-0.491,,-0.588,,0.274
2004,1am000104,179387.570,458,7,391.680,39.168,4,1.255,29,9.536,11.781,,21.900,,0.275
2004,1am000200,114498.400,329,7,348.020,38.532,6,1.511,29,11.326,-0.074,,-0.027,,0.243
2004,1am000201,491582.320,972,16,505.740,33.704,13,1.748,53,10.770,0.480,,0.349,,0.249
2004,1am000202,17274.280,13,3,1328.790,36.538,3,1.709,5,4.107,0.320,,0.000,,0.276
2004,1am000203,765613.190,1647,86,464.850,35.142,29,6.923,114,36.550,0.454,,0.129,,0.299
2004,1am000204,787036.860,1717,168,458.380,33.382,59,27.214,128,37.161,0.306,,0.192,,0.323
2004,1am000205,11978.000,12,3,998.170,40.833,3,2.057,6,4.871,0.062,,0.000,,0.215
2004,1am000206,360341476.600,326117,10182,1104.950,35.101,388,63.129,530,71.132,0.260,,0.156,,0.479
2004,1am000300,240047.830,613,11,391.600,34.300,8,1.378,40,11.310,0.301,,0.333,,0.202
2004,1am000301,44476.370,128,8,347.470,41.156,7,2.224,14,2.730,-0.577,,-0.441,,0.229
2004,1am000302,693995.440,1299,48,534.250,38.242,30,3.103,83,13.607,0.171,,0.166,,0.289
2004,1am000303,245187.000,519,9,472.420,35.383,7,1.318,54,13.586,-0.016,,-0.015,,0.227
2004,1am000304,1377163.320,3387,197,406.600,35.707,69,7.718,141,22.200,0.103,,0.024,,0.302
2004,1am000305,67992.050,150,6,453.280,36.907,5,1.629,22,10.228,0.020,,-0.085,,0.204
2004,1am000306,215977.190,384,9,562.440,39.021,8,1.596,36,14.095,-0.037,,-0.061,,0.303
2004,1am000400,2835387.560,3290,70,861.820,34.867,38,8.713,176,48.023,0.261,,0.206,,0.437
2004,1am000401,287971.910,579,50,497.360,33.917,26,5.957,78,26.370,0.068,,-0.052,,0.319
2004,1am000500,11761.900,13,3,904.760,34.154,3,2.675,8,6.586,0.474,,0.625,,0.288
2004,1am000501,649312.710,993,124,653.890,32.692,46,22.229,112,37.893,0.186,,0.040,,0.456
2004,1am000502,12149.380,15,3,809.960,33.667,3,2.872,9,7.855,0.221,,0.250,,0.230
2004,1am010000,14108.300,16,5,881.770,34.812,3,2.297,7,4.263,1.593,,1.000,,0.209
2004,1am010001,12746.130,16,4,796.630,34.562,4,3.688,6,4.859,0.194,,0.143,,0.322
2004,1am010100,115728.350,195,12,593.480,43.436,10,2.372,39,14.807,-0.253,,-0.108,,0.319
2004,1am010101,50940.560,71,8,717.470,36.169,6,2.909,25,16.866,0.015,,-0.155,,0.351
2004,1am010102,16749.650,25,6,669.990,37.680,6,4.777,16,13.448,-0.636,,-0.815,,0.269
2004,1am010103,539188.180,571,62,944.290,33.799,29,5.498,76,18.936,-0.208,,-0.230,,0.525
2004,1am020000,98338.270,202,3,486.820,37.550,3,1.208,17,7.585,0.120,,0.047,,0.335
2004,1am020001,21355.890,26,4,821.380,41.846,3,2.487,10,7.371,-0.580,,-0.458,,0.326
2004,1am020002,462901.470,883,20,524.240,36.964,15,2.824,60,15.289,0.382,,0.190,,0.353
2004,1am020003,149787.720,363,4,412.640,39.840,4,1.223,30,8.838,0.371,,0.354,,0.327
2004,1am020004,9835.550,11,2,894.140,37.455,2,1.797,5,4.553,0.193,,0.100,,0.132
2004,1am020005,39184.860,46,6,851.850,40.391,5,2.908,14,9.543,0.384,,0.122,,0.275
2004,1am020006,30552.650,34,6,898.610,37.147,6,5.126,15,11.512,-0.298,,-0.382,,0.400
2004,1am020007,391607.070,608,88,644.090,31.882,45,29.169,69,23.406,0.286,,0.165,,0.465
2004,1am020008,10364.510,10,2,1036.450,39.900,2,1.842,5,4.353,0.204,,0.111,,0.191
2004,1am020100,316779.320,627,12,505.230,39.011,9,1.924,47,10.256,-0.103,,-0.183,,0.369
2004,1am020101,345943.530,729,28,474.550,36.693,18,2.846,61,15.909,0.432,,0.295,,0.306
