Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2007,1ac000000,2982818.340,4446,425,670.900,34.048,116,26.591,188,39.122,0.348,0.213,0.189,0.110,0.318
2007,1ac000001,293568.150,391,13,750.810,35.266,10,1.689,29,11.652,0.075,0.274,-0.025,0.122,0.271
2007,1ac000002,447737.970,635,5,705.100,33.266,4,1.075,29,6.284,0.161,0.200,0.074,0.121,0.235
2007,1ac000003,9290.870,19,5,488.990,28.737,4,3.204,6,4.109,-0.920,-0.358,-0.917,-0.417,0.161
2007,1ac000004,279936.260,396,7,706.910,36.255,6,1.211,23,5.758,0.123,0.383,0.023,0.246,0.201
2007,1ac000100,810426.910,1067,78,759.540,36.185,39,5.065,82,21.636,0.158,0.221,0.046,0.084,0.326
2007,1ac000101,3635.000,6,3,605.830,27.333,2,1.890,2,1.890,5.960,-0.248,5.000,-0.386,
2007,1ac000102,349896.130,581,133,602.230,32.850,53,28.813,52,18.921,-0.609,-0.052,-0.541,-0.078,0.323
2007,1ac010000,198159.870,230,19,861.570,37.609,13,3.933,35,19.089,0.128,0.185,0.036,0.069,0.290
2007,1ac010001,606762.450,1111,107,546.140,34.357,49,12.779,83,25.753,0.508,0.289,0.401,0.211,0.237
2007,1ac010002,556912.150,882,88,631.420,32.620,42,8.295,73,26.706,0.078,0.307,-0.019,0.166,0.282
2007,1ac010003,304661.030,506,66,602.100,33.121,29,9.460,62,17.522,-0.363,0.082,-0.342,0.006,0.295
2007,1ac010100,336379.820,560,53,600.680,33.241,28,7.292,58,19.876,0.030,0.113,-0.014,0.042,0.269
2007,1ac010101,379146.100,596,44,636.150,35.401,16,4.326,45,16.427,0.155,0.201,0.086,0.058,0.258
2007,1ac010102,378864.870,481,26,787.660,34.050,14,4.218,67,23.883,0.364,0.364,0.139,0.161,0.321
2007,1ac010103,575269.830,815,88,705.850,34.775,26,4.074,63,16.387,2.138,0.210,1.407,0.071,0.281
2007,1ac010104,319632.410,410,35,779.590,34.749,14,3.898,41,15.447,0.255,0.329,0.139,0.168,0.325
2007,1ac010105,107147094.650,75472,3136,1419.690,37.291,327,22.619,436,51.411,0.181,0.148,0.073,0.055,0.481
2007,1ac010106,1210887.940,1866,116,648.920,35.527,45,6.871,89,9.763,0.195,0.332,0.082,0.216,0.305
2007,1ac010200,170390.410,192,9,887.450,38.099,7,1.545,14,5.545,0.219,0.210,0.087,0.113,0.321
2007,1ac010201,95335.300,85,4,1121.590,38.894,3,1.191,14,9.256,0.109,0.147,0.024,0.010,0.359
2007,1ac010202,977531.400,1262,132,774.590,35.177,49,8.362,82,23.919,0.094,0.200,0.000,0.081,0.355
2007,1am000000,192450.970,328,3,586.740,37.314,3,1.151,38,15.322,15.910,0.942,31.800,1.053,0.278
2007,1am000001,328787.370,487,4,675.130,37.099,3,1.150,37,11.780,12.164,0.987,15.517,1.090,0.286
2007,1am000002,37080.770,49,4,756.750,34.306,3,2.039,12,7.516,0.378,0.373,0.140,0.374,0.290
2007,1am000003,365259.950,656,4,556.800,37.223,3,1.098,53,11.225,0.148,0.256,0.053,0.112,0.256
2007,1am000004,21566023.140,7322,128,2945.370,37.332,61,5.227,173,30.535,0.837,0.350,0.431,0.201,0.575
2007,1am000005,848564.290,886,11,957.750,40.617,7,1.344,42,13.374,1.165,0.554,0.510,0.362,0.355
2007,1am000100,5811174.810,7320,310,793.880,35.867,106,10.041,234,39.259,0.161,0.187,0.094,0.069,0.393
2007,1am000101,290581.060,465,8,624.910,38.490,7,1.513,52,15.066,0.311,0.310,0.130,0.108,0.307
2007,1am000102,591830.940,1076,20,550.030,36.014,17,1.497,54,12.636,0.534,0.282,0.464,0.149,0.172
2007,1am000103,304826.950,564,7,540.470,37.445,6,1.161,29,8.950,10.519,0.642,15.000,0.563,0.237
2007,1am000104,305418.090,496,9,615.760,40.986,7,1.254,35,11.628,0.187,0.801,0.060,0.776,0.189
2007,1am000200,339619.610,478,14,710.500,38.446,14,2.957,52,17.559,0.638,0.270,0.278,0.082,0.250
2007,1am000201,798109.530,1114,22,716.440,36.038,17,1.930,55,13.035,0.212,0.356,0.059,0.208,0.276
2007,1am000202,460357.810,718,5,641.170,38.036,4,1.066,43,9.507,0.102,1.032,0.103,1.135,0.251
2007,1am000203,1580119.240,2615,97,604.250,35.676,39,6.838,140,31.488,0.076,0.300,-0.001,0.151,0.266
2007,1am000204,6891386.280,4589,219,1501.720,34.453,84,9.889,167,42.435,2.667,0.695,0.766,0.291,0.505
2007,1am000205,416477.360,655,7,635.840,36.808,6,1.185,58,15.276,-0.043,1.153,-0.077,1.161,0.273
2007,1am000206,556745521.050,414439,11823,1343.370,35.139,497,75.560,541,76.448,0.129,0.180,0.083,0.097,0.470
2007,1am000300,479440.660,761,15,630.010,37.099,10,1.393,52,12.618,0.195,0.196,0.097,0.040,0.251
2007,1am000301,169966.130,305,9,557.270,38.787,7,1.560,12,3.181,0.354,0.264,0.206,0.112,0.206
2007,1am000302,1505774.200,2441,93,616.870,36.998,50,3.024,99,20.080,0.210,0.351,0.143,0.266,0.284
2007,1am000303,451477.540,720,10,627.050,36.203,9,1.233,60,15.650,0.106,0.213,-0.001,0.095,0.320
2007,1am000304,3474099.770,5213,283,666.430,36.374,89,6.464,175,25.828,0.155,0.292,0.060,0.125,0.333
2007,1am000305,131346.180,233,7,563.720,36.343,6,1.721,26,11.075,-0.123,0.206,0.197,0.095,0.226
2007,1am000306,508174.800,837,13,607.140,38.686,12,1.331,54,15.434,0.118,0.273,0.106,0.159,0.257
2007,1am000400,4943095.180,4550,95,1086.400,34.884,57,7.416,212,55.200,0.259,0.237,0.256,0.147,0.427
2007,1am000401,949569.250,1297,67,732.130,34.358,40,7.580,98,27.947,0.100,0.394,-0.031,0.229,0.318
2007,1am000500,46865.380,71,6,660.080,38.000,4,2.374,24,15.684,1.064,0.467,1.536,0.548,0.268
2007,1am000501,1260676.670,1498,146,841.570,33.328,62,21.139,148,39.443,0.370,0.223,0.221,0.110,0.435
2007,1am000502,26308.160,32,5,822.130,36.062,5,4.840,14,12.144,0.302,0.363,0.391,0.355,0.302
2007,1am010000,26066.100,21,6,1241.240,36.571,4,2.226,7,3.384,-0.874,0.123,-0.947,0.000,0.227
2007,1am010001,242955.170,335,6,725.240,34.496,6,1.353,28,8.178,-0.254,0.919,-0.382,0.980,0.266
2007,1am010100,548659.910,785,12,698.930,36.138,10,1.273,50,14.488,-0.117,0.444,-0.055,0.339,0.251
2007,1am010101,401176.890,571,19,702.590,36.081,15,2.558,54,11.814,0.154,0.597,0.020,0.526,0.303
2007,1am010102,121063.500,207,7,584.850,38.937,6,1.702,28,8.456,0.141,0.670,0.015,0.630,0.237
2007,1am010103,1266155.490,1563,84,810.080,35.270,37,3.002,104,16.231,0.080,0.192,0.118,0.218,0.343
2007,1am020000,255251.440,337,4,757.420,37.531,3,1.147,33,14.712,0.343,0.991,0.339,1.043,0.357
2007,1am020001,473661.500,535,5,885.350,37.555,3,1.136,50,18.456,0.421,0.615,0.728,0.600,0.494
2007,1am020002,522502.450,638,21,818.970,38.969,15,1.845,62,20.568,0.217,0.122,0.188,-0.011,0.339
2007,1am020003,336331.070,639,4,526.340,40.840,4,1.147,45,8.373,0.107,0.232,0.072,0.193,0.255
2007,1am020004,26948.440,39,4,690.990,30.897,4,2.689,11,6.385,0.088,0.229,0.147,0.246,0.290
2007,1am020005,386190.110,545,7,708.610,37.363,7,1.338,46,14.656,0.012,0.676,-0.161,0.684,0.291
2007,1am020006,53573.590,42,8,1275.560,35.595,7,5.823,14,9.762,0.714,0.176,0.615,0.063,0.344
2007,1am020007,1091192.970,1406,117,776.100,35.920,45,10.510,104,28.039,0.364,0.313,0.246,0.244,0.397
2007,1am020008,146081.030,299,4,488.570,39.438,3,1.182,19,6.928,0.258,0.807,0.160,1.062,0.185
2007,1am020100,545076.470,770,11,707.890,40.158,9,1.533,42,10.796,0.092,0.181,0.009,0.056,0.335
2007,1am020101,614482.910,1231,34,499.170,36.568,23,1.831,76,19.405,0.461,0.267,0.455,0.203,0.223
2007,1am020102,536668.740,765,13,701.530,37.098,8,1.341,34,7.350,0.071,0.281,0.014,0.134,0.307
2007,1am020103,261992.880,494,15,530.350,38.630,10,1.890,35,9.964,0.446,0.626,0.293,0.540,0.217
2007,1am020104,224186.570,344,5,651.710,38.265,3,1.234,34,9.556,0.204,0.273,0.083,0.169,0.235
2007,1am020105,264884.310,364,3,727.700,37.926,3,1.112,33,11.664,1.267,0.519,1.034,0.305,0.297
