Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2009,1ac000000,4845527.800,5960,484,813.010,33.501,123,28.913,218,46.660,0.316,0.257,0.156,0.138,0.319
2009,1ac000001,519518.150,514,15,1010.740,35.839,11,2.094,47,22.529,0.752,0.276,0.481,0.117,0.272
2009,1ac000002,708472.520,747,6,948.420,32.541,5,1.102,31,7.387,0.152,0.289,-0.113,0.132,0.276
2009,1ac000003,380593.950,469,3,811.500,34.825,2,1.039,24,6.707,0.654,1.932,0.439,1.480,0.191
2009,1ac000004,527255.100,655,7,804.970,34.721,6,1.114,19,5.331,0.691,0.356,0.575,0.265,0.176
2009,1ac000100,1349267.160,1389,89,971.400,35.936,43,4.339,82,18.074,0.397,0.271,0.181,0.097,0.317
2009,1ac000101,199579.600,232,6,860.260,39.711,4,1.323,27,12.799,1.016,2.179,0.341,1.588,0.240
2009,1ac000102,458334.160,581,149,788.870,31.596,57,31.234,61,21.496,0.131,-0.072,-0.022,-0.135,0.350
2009,1ac010000,320034.550,318,21,1006.400,36.673,15,3.698,37,13.631,0.201,0.217,0.056,0.073,0.279
2009,1ac010001,898971.210,1155,101,778.330,34.522,48,9.210,97,32.322,0.329,0.268,0.102,0.117,0.268
2009,1ac010002,703122.930,872,83,806.330,33.624,40,8.858,71,27.014,0.084,0.121,-0.055,0.010,0.296
2009,1ac010003,725437.610,895,75,810.550,37.135,34,9.292,88,28.756,0.356,0.218,0.159,0.113,0.281
2009,1ac010100,620273.330,690,61,898.950,33.096,26,7.705,72,26.736,0.330,0.179,0.107,0.030,0.327
2009,1ac010101,427085.640,579,51,737.630,35.965,16,4.249,44,16.625,0.116,0.195,0.051,0.096,0.265
2009,1ac010102,572013.840,649,43,881.380,34.416,23,4.743,69,23.535,0.300,0.245,0.250,0.119,0.274
2009,1ac010103,789081.770,863,101,914.350,35.833,30,4.650,71,22.192,0.178,0.229,0.065,0.075,0.322
2009,1ac010104,637802.580,661,55,964.910,34.525,19,4.798,60,18.978,0.333,0.446,0.180,0.264,0.324
2009,1ac010105,135063837.430,84322,3553,1601.760,37.203,341,28.638,443,57.795,0.112,0.167,0.051,0.064,0.466
2009,1ac010106,1717287.010,2220,147,773.550,34.835,55,7.926,123,28.328,0.086,0.353,0.063,0.250,0.293
2009,1ac010200,627610.970,543,8,1155.820,34.576,8,1.485,43,13.607,0.457,0.482,0.275,0.354,0.375
2009,1ac010201,223476.420,202,4,1106.320,33.653,4,1.125,21,11.119,137.357,0.365,100.000,0.201,0.369
2009,1ac010202,1683825.060,1497,161,1124.800,35.443,50,9.017,98,27.421,0.345,0.229,0.092,0.063,0.411
2009,1am000000,330658.620,418,4,791.050,36.837,3,1.133,34,13.431,0.674,1.020,0.358,1.109,0.301
2009,1am000001,509613.880,584,4,872.630,37.476,3,1.136,41,11.824,0.264,0.967,0.206,1.101,0.313
2009,1am000002,33627.770,29,5,1159.580,37.724,5,3.788,11,7.174,0.790,0.287,0.611,0.237,0.357
2009,1am000003,452767.690,654,5,692.310,39.794,4,1.110,47,8.905,0.277,0.231,0.074,0.091,0.260
2009,1am000004,18509720.010,5866,133,3155.420,38.417,55,5.119,172,40.789,-0.044,0.212,-0.086,0.152,0.681
2009,1am000005,822292.010,1026,9,801.450,38.076,7,1.242,51,15.427,0.300,0.394,0.376,0.205,0.320
2009,1am000100,7209815.810,7644,359,943.200,36.825,120,11.404,244,40.393,0.143,0.135,0.044,0.026,0.362
2009,1am000101,482707.890,546,8,884.080,38.529,8,1.528,50,10.314,0.997,0.383,0.493,0.193,0.376
2009,1am000102,659307.190,955,22,690.370,38.153,17,1.783,57,12.616,0.028,0.304,-0.033,0.181,0.184
2009,1am000103,422706.880,500,9,845.410,38.444,8,1.467,34,7.773,0.161,0.985,-0.110,0.881,0.323
2009,1am000104,558173.040,644,9,866.730,41.418,6,1.224,45,12.852,0.429,0.255,0.146,0.066,0.307
2009,1am000200,339053.080,405,22,837.170,41.684,17,2.565,57,16.205,0.181,0.242,0.023,0.042,0.229
2009,1am000201,1006618.720,1077,27,934.650,37.581,19,2.052,65,14.240,0.477,0.154,0.092,0.021,0.250
2009,1am000202,778254.720,933,8,834.140,37.309,7,1.081,27,3.966,0.604,1.142,0.333,1.275,0.294
2009,1am000203,1962083.080,2656,109,738.740,36.215,58,7.766,148,38.061,-0.013,0.207,-0.111,0.100,0.252
2009,1am000204,3375165.670,3680,255,917.170,34.334,86,15.284,162,33.277,-0.326,0.338,-0.081,0.159,0.334
2009,1am000205,411507.870,508,8,810.060,37.596,7,1.314,58,22.821,-0.343,1.029,-0.421,1.096,0.289
2009,1am000206,683270942.630,436647,13496,1564.810,35.355,517,88.281,542,94.721,0.025,0.137,-0.002,0.062,0.466
2009,1am000300,687165.310,839,13,819.030,38.055,11,1.317,51,12.159,0.264,0.234,0.100,0.065,0.283
2009,1am000301,267188.860,368,11,726.060,39.905,8,1.692,21,4.092,0.393,0.431,0.132,0.235,0.221
2009,1am000302,1681934.810,2431,100,691.870,38.212,49,3.265,105,21.772,-0.074,0.194,-0.069,0.134,0.313
2009,1am000303,722760.920,800,9,903.450,36.856,8,1.231,63,15.522,0.947,0.241,0.410,0.083,0.317
2009,1am000304,5244538.450,6100,314,859.760,36.902,94,5.661,195,29.768,0.227,0.307,0.051,0.107,0.335
2009,1am000305,337867.310,403,11,838.380,35.491,7,1.585,37,13.056,1.098,0.378,0.617,0.212,0.285
2009,1am000306,606319.320,758,17,799.890,39.774,14,1.696,50,14.527,0.262,0.229,-0.038,0.133,0.219
2009,1am000400,5925112.510,4372,110,1355.240,36.086,57,7.255,217,57.246,0.246,0.159,0.122,0.056,0.443
2009,1am000401,1053832.260,1334,86,789.980,34.951,42,8.627,131,37.189,-0.122,0.296,-0.212,0.178,0.272
2009,1am000500,251911.530,353,8,713.630,36.235,5,1.424,41,11.556,-0.197,0.846,-0.321,0.935,0.265
2009,1am000501,2211463.540,2550,206,867.240,33.934,73,12.746,167,42.470,0.312,0.278,0.179,0.206,0.356
