Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2012,1ac000000,8577634.330,7471,660,1148.120,33.466,156,36.781,241,51.743,0.241,0.235,0.109,0.109,0.336
2012,1ac000001,934893.850,654,37,1429.500,35.913,24,3.801,65,24.171,0.494,0.261,0.266,0.108,0.295
2012,1ac000002,1109069.330,962,9,1152.880,33.639,6,1.215,40,9.411,-0.085,0.199,-0.198,0.086,0.275
2012,1ac000003,493432.340,436,8,1131.730,38.119,7,1.225,35,8.389,-0.002,1.213,-0.054,0.871,0.219
2012,1ac000004,666929.950,595,7,1120.890,37.746,4,1.117,24,5.975,-0.109,0.190,-0.200,0.083,0.191
2012,1ac000100,1605686.640,1345,125,1193.820,37.631,49,7.206,97,22.476,-0.086,0.147,-0.159,0.048,0.312
2012,1ac000101,515206.920,502,5,1026.310,37.456,4,1.216,30,12.669,0.178,1.693,0.068,1.424,0.263
2012,1ac000102,1990305.860,1504,217,1323.340,36.320,67,12.009,93,23.110,2.046,0.416,1.060,0.210,0.360
2012,1ac010000,490306.530,305,28,1607.560,38.679,17,3.595,41,17.377,0.090,0.199,-0.038,0.055,0.298
2012,1ac010001,1699696.880,1509,158,1126.370,34.003,66,16.913,117,41.018,0.241,0.229,0.005,0.063,0.279
2012,1ac010002,1317592.340,1180,116,1116.600,33.917,49,10.029,94,30.248,0.117,0.188,-0.003,0.062,0.278
2012,1ac010003,856565.500,743,87,1152.850,37.711,37,9.357,86,40.070,0.104,0.230,0.025,0.080,0.275
2012,1ac010100,1042565.300,824,83,1265.250,34.115,33,8.841,85,30.720,1.671,0.254,0.787,0.081,0.289
2012,1ac010101,1008548.850,988,68,1020.800,36.021,21,5.173,67,20.445,0.775,0.216,0.632,0.107,0.278
2012,1ac010102,832500.510,661,43,1259.460,36.135,27,5.764,78,26.528,0.156,0.171,-0.005,0.061,0.260
2012,1ac010103,1448800.280,1154,124,1255.460,35.964,44,8.739,100,31.139,0.160,0.203,0.021,0.074,0.300
2012,1ac010104,353048.150,368,73,959.370,34.193,26,10.319,56,26.143,-0.566,0.020,-0.461,-0.021,0.260
2012,1ac010105,210463468.050,99601,4349,2113.070,37.704,364,35.115,474,68.194,0.125,0.145,0.026,0.056,0.467
2012,1ac010106,2027821.300,1747,161,1160.750,36.147,64,11.423,118,37.330,0.080,0.109,-0.092,-0.014,0.277
2012,1ac010200,593823.670,419,14,1417.240,36.122,11,1.637,34,11.627,-0.066,0.284,-0.103,0.169,0.253
2012,1ac010201,328272.510,205,3,1601.330,36.654,3,1.140,23,11.194,0.242,0.281,0.030,0.193,0.324
2012,1ac010202,2793979.740,2056,218,1358.940,34.651,71,12.306,120,34.151,0.167,0.234,0.047,0.103,0.381
2012,1am000000,243520.550,245,4,993.960,42.184,3,1.233,26,9.414,-0.292,0.048,-0.294,-0.057,0.280
2012,1am000001,764131.270,612,6,1248.580,38.897,5,1.212,49,14.379,0.180,0.184,0.022,0.049,0.362
2012,1am000002,61071.160,24,7,2544.630,36.875,7,5.209,12,9.660,0.275,0.105,0.200,-0.133,0.341
2012,1am000003,705588.730,850,5,830.100,39.798,4,1.098,60,10.483,40.386,0.141,46.222,0.053,0.195
2012,1am000004,12084641.300,2114,172,5716.480,36.507,66,12.286,137,42.588,-0.150,-0.109,-0.648,-0.217,0.580
2012,1am000005,615668.600,642,10,958.990,40.844,7,1.620,47,15.539,-0.321,-0.062,-0.375,-0.076,0.230
2012,1am000100,10488096.310,8028,447,1306.440,37.309,131,15.063,250,44.389,0.012,0.125,-0.099,0.020,0.367
2012,1am000101,3573668.460,1923,13,1858.380,34.778,12,2.268,103,20.001,0.209,0.652,-0.025,0.341,0.411
2012,1am000102,495666.970,530,30,935.220,40.798,18,3.568,54,14.443,-0.312,-0.035,-0.452,-0.134,0.214
2012,1am000103,449626.800,396,11,1135.420,42.071,10,1.486,33,7.137,-0.055,0.081,-0.247,-0.068,0.312
2012,1am000104,534400.270,458,10,1166.810,42.808,7,1.415,35,11.179,-0.115,0.118,-0.206,-0.017,0.214
2012,1am000200,1020184.960,888,37,1148.860,41.017,24,2.680,84,22.844,0.659,0.246,0.387,0.132,0.256
2012,1am000201,1490194.150,1220,40,1221.470,37.998,25,3.024,83,18.195,0.055,0.133,-0.032,0.015,0.272
2012,1am000202,769157.980,754,5,1020.100,38.792,4,1.134,29,4.515,-0.095,0.108,-0.173,0.009,0.225
2012,1am000203,3410262.320,3441,147,991.070,36.382,70,10.230,151,22.009,0.529,0.166,0.441,0.043,0.277
2012,1am000204,5810599.500,4545,302,1278.460,35.630,97,13.275,178,36.727,0.096,-0.034,-0.021,-0.004,0.385
2012,1am000205,838916.960,744,12,1127.580,37.591,12,2.491,70,22.087,0.361,0.150,0.201,0.037,0.330
2012,1am000206,1049584171.330,535702,16261,1959.270,35.904,536,91.147,559,97.014,0.126,0.135,0.039,0.052,0.455
2012,1am000300,1328495.490,1159,22,1146.240,39.531,15,1.465,63,12.314,0.188,0.226,0.061,0.088,0.329
2012,1am000301,472307.030,478,13,988.090,41.184,8,1.445,31,5.854,1.798,0.227,1.612,0.095,0.227
2012,1am000302,3643694.870,2934,133,1241.890,37.828,61,3.596,121,24.427,0.136,0.193,0.068,0.037,0.319
2012,1am000303,728543.690,624,14,1167.540,40.351,9,1.560,55,16.078,-0.164,0.100,-0.316,-0.027,0.246
2012,1am000304,7354570.680,5824,380,1262.800,38.005,95,7.588,194,31.979,-0.012,0.162,-0.159,0.022,0.355
2012,1am000305,422754.690,381,11,1109.590,38.354,7,1.466,37,11.849,0.228,0.263,-0.013,0.105,0.250
2012,1am000306,579335.810,596,21,972.040,43.936,17,1.944,43,13.873,-0.365,0.027,-0.374,-0.068,0.227
2012,1am000400,8302760.920,4444,144,1868.310,37.225,67,7.553,216,59.935,-0.004,0.109,-0.102,-0.005,0.421
2012,1am000401,1590339.230,1367,116,1163.380,35.030,55,14.366,128,41.422,0.087,0.109,-0.087,0.007,0.321
2012,1am000500,488078.570,512,9,953.280,38.812,6,1.333,42,11.169,0.809,0.598,0.875,0.485,0.228
2012,1am000501,7016943.200,4636,258,1513.580,35.097,80,8.682,181,35.166,0.576,0.410,0.157,0.253,0.467
2012,1am000502,57540.980,35,8,1644.030,37.629,5,4.130,14,8.991,-0.271,0.169,-0.462,0.018,0.441
2012,1am010000,251801.530,219,8,1149.780,42.128,5,1.574,11,1.792,-0.442,0.574,-0.505,0.598,0.313
2012,1am010001,627447.810,614,9,1021.900,37.492,7,1.219,34,8.568,-0.108,0.209,-0.153,0.119,0.275
2012,1am010100,866203.250,831,18,1042.360,40.150,13,1.604,68,18.615,0.083,0.096,-0.188,0.014,0.268
2012,1am010101,769243.920,682,29,1127.920,38.381,20,3.749,85,29.247,0.101,0.139,-0.031,0.036,0.293
2012,1am010102,314571.790,232,11,1355.910,42.457,6,1.717,29,11.419,0.380,0.210,0.022,0.023,0.337
2012,1am010103,2923255.400,2462,99,1187.350,36.093,43,2.330,108,12.202,0.069,0.182,0.032,0.096,0.332
2012,1am020000,437374.780,386,7,1133.100,37.728,6,1.181,28,10.097,0.533,0.114,0.342,0.029,0.355
2012,1am020001,599637.770,702,10,854.190,39.474,7,1.207,56,14.297,-0.149,0.048,-0.104,0.054,0.233
2012,1am020002,2088692.910,1836,38,1137.630,37.449,22,1.782,77,12.161,0.101,0.319,0.009,0.226,0.271
2012,1am020003,957649.600,1015,6,943.500,41.021,6,1.147,58,11.711,18.938,0.233,58.706,0.097,0.255
2012,1am020004,627032.100,681,9,920.750,39.338,6,1.267,38,7.326,10.016,0.877,10.577,0.729,0.198
2012,1am020005,827050.100,843,13,981.080,38.671,10,1.334,54,13.993,6.482,0.165,9.262,0.087,0.233
2012,1am020006,724059.800,686,7,1055.480,37.375,7,1.249,29,5.466,-0.156,0.683,-0.221,0.728,0.228
2012,1am020007,2405622.160,2264,161,1062.550,38.344,68,9.806,106,23.095,0.034,0.171,-0.021,0.100,0.316
2012,1am020008,60702.510,25,5,2428.100,40.280,5,3.960,11,8.441,0.240,-0.161,-0.038,-0.391,0.396
2012,1am020100,1172292.640,917,21,1278.400,40.892,16,2.080,49,10.489,0.083,0.166,-0.053,0.027,0.306
2012,1am020101,1106052.240,1453,61,761.220,39.760,25,2.180,87,18.133,0.075,0.125,-0.029,0.033,0.175
2012,1am020102,861593.120,858,14,1004.190,40.347,9,1.323,49,9.382,0.212,0.099,0.200,0.022,0.238
2012,1am020103,649636.030,698,18,930.710,41.725,10,1.593,64,18.899,0.045,0.199,-0.006,0.072,0.247
2012,1am020104,407814.120,366,11,1114.250,42.806,7,1.510,37,10.640,0.080,0.127,0.009,0.016,0.281
2012,1am020105,407270.290,412,3,988.520,40.563,3,1.113,30,11.677,0.116,0.090,0.010,0.016,0.228
2012,1am020106,349859.330,334,6,1047.480,41.350,5,1.219,34,11.923,-0.445,0.019,-0.481,-0.063,0.312
2012,1am030000,1841562.530,1845,109,998.140,38.148,40,5.464,104,27.992,0.104,0.162,0.031,0.057,0.303
2012,1am030001,943695.180,891,6,1059.140,40.057,5,1.098,59,16.107,0.011,0.286,-0.187,0.120,0.294
2012,1am030100,803011.240,809,55,992.600,37.549,33,3.531,73,18.833,-0.124,0.140,-0.040,0.049,0.246
2012,1am030101,1525160.420,1358,33,1123.090,39.265,23,2.013,82,23.036,0.095,0.183,-0.003,0.049,0.327
2012,1am030102,2496610.570,2202,262,1133.790,36.886,89,13.929,152,38.461,0.184,0.154,0.024,0.027,0.311
2012,1am030103,1545402.180,1241,65,1245.290,39.936,31,3.734,97,25.557,0.230,0.166,0.085,0.039,0.301
2012,1am030104,615172.780,630,19,976.470,41.524,15,1.650,50,16.483,-0.088,0.730,-0.156,0.717,0.223
2012,1am030200,249439.230,205,14,1216.780,43.122,8,2.004,39,14.663,2.455,0.527,5.548,0.486,0.324
2012,1am030201,1514525.950,1544,54,980.910,37.914,29,2.912,70,16.240,0.031,0.110,0.076,0.065,0.228
