Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;1400209;Caracaraí (RR);0,39
MU;1400233;Caroebe (RR);0,67
MU;1400282;Iracema (RR);0,6
MU;1400308;Mucajaí (RR);1,19
MU;1400407;Normandia (RR);1,28
MU;1400456;Pacaraima (RR);1,3
MU;1400472;Rorainópolis (RR);0,72
MU;1400506;São João da Baliza (RR);1,58
MU;1400605;São Luiz (RR);4,42
MU;1400704;Uiramutã (RR);1,04
MU;1500107;Abaetetuba (PA);87,61
MU;1500131;Abel Figueiredo (PA);11,04
MU;1500206;Acará (PA);12,33
MU;1500305;Afuá (PA);4,19
MU;1500347;Água Azul do Norte (PA);3,52
MU;1500404;Alenquer (PA);2,23
MU;1500503;Almeirim (PA);0,46
MU;1500602;Altamira (PA);0,62
MU;1500701;Anajás (PA);3,58
MU;1500800;Ananindeua (PA);2477,56
MU;1500859;Anapu (PA);1,73
MU;1500909;Augusto Corrêa (PA);37,1
MU;1500958;Aurora do Pará (PA);14,65
MU;1501006;Aveiro (PA);0,93
MU;1501105;Bagre (PA);5,43
MU;1501204;Baião (PA);9,81
MU;1501253;Bannach (PA);1,16
MU;1501303;Barcarena (PA);76,21
MU;1501402;Belém (PA);1315,27
MU;1501451;Belterra (PA);3,71
MU;1501501;Benevides (PA);275
MU;1501576;Bom Jesus do Tocantins (PA);5,43
MU;1501600;Bonito (PA);23,23
MU;1501709;Bragança (PA);54,13
MU;1501725;Brasil Novo (PA);2,47
MU;1501758;Brejo Grande do Araguaia (PA);5,68
MU;1501782;Breu Branco (PA);13,32
MU;1501808;Breves (PA);9,72
MU;1501907;Bujaru (PA);25,56
MU;1501956;Cachoeira do Piriá (PA);10,76
MU;1502004;Cachoeira do Arari (PA);6,59
MU;1502103;Cametá (PA);39,23
MU;1502152;Canaã dos Carajás (PA);8,49
MU;1502202;Capanema (PA);103,72
MU;1502301;Capitão Poço (PA);17,9
MU;1502400;Castanhal (PA);168,29
MU;1502509;Chaves (PA);1,61
MU;1502608;Colares (PA);18,66
MU;1502707;Conceição do Araguaia (PA);7,81
MU;1502756;Concórdia do Pará (PA);40,84
MU;1502764;Cumaru do Norte (PA);0,61
MU;1502772;Curionópolis (PA);7,72
MU;1502806;Curralinho (PA);7,89
MU;1502855;Curuá (PA);8,56
MU;1502905;Curuçá (PA);50,98
MU;1502939;Dom Eliseu (PA);9,74
MU;1502954;Eldorado do Carajás (PA);10,75
MU;1503002;Faro (PA);0,69
MU;1503044;Floresta do Araguaia (PA);5,16
MU;1503077;Garrafão do Norte (PA);15,66
MU;1503093;Goianésia do Pará (PA);4,33
MU;1503101;Gurupá (PA);3,4
MU;1503200;Igarapé-Açu (PA);45,66
MU;1503309;Igarapé-Miri (PA);29,08
MU;1503408;Inhangapi (PA);21,29
MU;1503457;Ipixuna do Pará (PA);9,84
MU;1503507;Irituia (PA);22,74
MU;1503606;Itaituba (PA);1,57
MU;1503705;Itupiranga (PA);6,5
MU;1503754;Jacareacanga (PA);0,26
MU;1503804;Jacundá (PA);25,57
MU;1503903;Juruti (PA);5,67
MU;1504000;Limoeiro do Ajuru (PA);16,79
MU;1504059;Mãe do Rio (PA);59,43
MU;1504109;Magalhães Barata (PA);25,07
MU;1504208;Marabá (PA);15,45
MU;1504307;Maracanã (PA);33,1
MU;1504406;Marapanim (PA);33,42
MU;1504422;Marituba (PA);1047,44
MU;1504455;Medicilândia (PA);3,3
MU;1504505;Melgaço (PA);3,66
MU;1504604;Mocajuba (PA);30,7
MU;1504703;Moju (PA);7,7
MU;1504802;Monte Alegre (PA);3,06
MU;1504901;Muaná (PA);9,08
MU;1504950;Nova Esperança do Piriá (PA);7,17
