Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2002,1ac000000,1134458.730,2674,303,424.260,34.069,95,24.746,136,34.794,,,,,0.378
2002,1ac000001,87402.370,219,10,399.100,39.059,9,1.677,35,11.846,,,,,0.262
2002,1ac000002,180144.270,358,3,503.200,30.313,2,1.019,29,7.622,,,,,0.230
2002,1ac000003,84969.970,281,3,302.380,32.847,2,1.024,16,6.579,,,,,0.214
2002,1ac000004,55296.050,132,3,418.910,35.856,2,1.082,12,4.188,,,,,0.168
2002,1ac000100,299090.470,710,44,421.250,36.642,23,2.885,58,13.873,,,,,0.353
2002,1ac000101,15164.670,69,2,219.780,39.899,1,1.000,7,3.662,,,,,0.082
2002,1ac000102,456647.240,871,87,524.280,35.921,34,5.576,51,5.435,,,,,0.340
2002,1ac010000,84890.300,165,14,514.490,37.467,10,3.207,20,4.828,,,,,0.294
2002,1ac010001,170706.610,425,60,401.660,36.334,34,10.542,57,24.699,,,,,0.351
2002,1ac010002,145920.480,404,50,361.190,33.735,29,8.852,58,21.917,,,,,0.284
2002,1ac010003,205445.250,491,37,418.420,38.692,19,3.833,56,32.626,,,,,0.333
2002,1ac010100,196568.510,461,23,426.400,31.247,11,3.021,28,9.157,,,,,0.325
2002,1ac010101,151815.440,448,21,338.870,35.250,7,3.166,33,8.536,,,,,0.285
2002,1ac010102,80253.680,226,11,355.110,31.655,7,2.900,31,8.874,,,,,0.288
2002,1ac010103,221486.170,572,39,387.210,32.678,18,2.698,44,13.439,,,,,0.312
2002,1ac010104,77074.950,189,10,407.800,32.735,8,2.826,18,9.220,,,,,0.287
2002,1ac010105,53654951.150,57993,2357,925.200,37.604,248,17.188,330,46.156,,,,,0.497
2002,1ac010106,288643.520,702,59,411.170,34.758,29,9.124,56,18.276,,,,,0.280
2002,1ac010200,65823.270,110,4,598.390,38.982,3,1.279,14,6.004,,,,,0.278
2002,1ac010201,48109.990,81,2,593.950,34.765,1,1.000,11,6.484,,,,,0.326
2002,1ac010202,393239.720,858,89,458.320,35.839,37,5.709,63,15.050,,,,,0.397
2002,1am000000,6973.240,9,2,774.800,37.667,2,1.417,5,3.681,,,,,
2002,1am000001,10625.340,12,2,885.450,41.167,2,1.569,5,4.339,,,,,0.189
2002,1am000002,7590.940,10,2,759.090,36.300,2,1.384,5,3.893,,,,,0.193
2002,1am000003,116882.950,385,4,303.590,36.940,4,1.147,24,5.303,,,,,0.275
2002,1am000004,4810544.910,2870,62,1676.150,36.984,36,8.051,134,33.480,,,,,0.670
