Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2006,1ac000000,2213380.900,3736,372,592.450,34.035,111,24.389,163,32.761,0.149,,0.016,,0.309
2006,1ac000001,273164.230,401,14,681.210,34.960,10,1.779,30,11.291,0.116,,0.020,,0.277
2006,1ac000002,385701.140,591,4,652.630,32.107,3,1.046,27,6.486,0.686,,0.368,,0.256
2006,1ac000003,116751.890,228,3,512.070,37.000,2,1.052,18,5.969,0.461,,0.382,,0.175
2006,1ac000004,249261.790,387,7,644.090,35.928,6,1.181,16,5.239,0.525,,0.348,,0.219
2006,1ac000100,699870.140,1015,70,689.530,36.088,37,4.862,82,23.075,0.230,,0.037,,0.321
2006,1ac000101,522.290,1,1,522.290,31.000,1,1.000,1,1.000,-0.293,,-0.500,,
2006,1ac000102,895994.390,1265,108,708.300,35.933,44,5.927,60,15.192,0.195,,0.037,,0.353
2006,1ac010000,175621.600,222,18,791.090,37.383,14,3.751,39,20.125,0.305,,0.168,,0.278
2006,1ac010001,402394.780,792,109,508.070,34.179,52,10.533,74,25.637,0.155,,0.038,,0.242
2006,1ac010002,516486.350,904,86,571.330,32.198,44,6.685,68,25.417,0.196,,0.075,,0.274
2006,1ac010003,478525.500,767,58,623.890,37.778,28,6.350,51,10.990,1.570,,1.062,,0.293
2006,1ac010100,326598.090,568,54,575.000,32.252,28,6.855,63,20.303,0.062,,0.063,,0.235
2006,1ac010101,328198.860,546,45,601.100,34.837,13,4.116,40,15.474,0.366,,0.236,,0.282
2006,1ac010102,277689.680,423,23,656.480,33.184,13,3.676,47,16.893,0.250,,0.103,,0.266
2006,1ac010103,183301.680,332,82,552.110,33.810,28,12.252,48,21.473,-0.471,,-0.473,,0.322
2006,1ac010104,254638.730,360,30,707.330,33.942,16,3.758,39,13.291,0.560,,0.246,,0.293
2006,1ac010105,90725042.170,69791,2925,1299.950,37.456,317,23.663,433,50.829,0.240,,0.072,,0.484
2006,1ac010106,1013560.510,1730,100,585.870,35.393,45,6.219,76,8.435,0.442,,0.286,,0.307
2006,1ac010200,139736.220,179,8,780.650,37.939,8,1.481,14,5.330,0.091,,0.081,,0.294
2006,1ac010201,85960.630,83,3,1035.670,38.386,2,1.067,14,9.155,126.037,,40.500,,0.356
2006,1ac010202,893599.190,1262,124,708.080,34.667,47,7.741,83,25.993,0.366,,0.118,,0.355
2006,1am000000,11380.940,10,2,1138.090,41.200,2,1.649,5,3.893,0.021,,0.000,,0.179
2006,1am000001,24975.890,29,3,861.240,41.448,3,2.668,8,5.381,0.401,,1.071,,0.363
2006,1am000002,26918.720,43,3,626.020,31.023,3,2.051,11,7.278,1.620,,2.909,,0.306
2006,1am000003,318250.770,624,4,510.020,36.888,4,1.115,50,10.355,0.230,,0.020,,0.271
2006,1am000004,11742889.990,5025,112,2336.890,37.947,55,6.220,154,25.415,0.364,,0.628,,0.677
2006,1am000005,391968.060,594,5,659.880,38.207,5,1.283,30,10.656,0.362,,0.170,,0.312
2006,1am000100,5006503.410,6665,292,751.160,35.388,106,11.366,245,41.060,0.081,,-0.033,,0.401
2006,1am000101,221575.010,385,6,575.520,37.766,5,1.564,47,18.022,0.419,,0.103,,0.297
2006,1am000102,385926.770,737,21,523.650,36.682,15,1.638,55,16.752,0.161,,0.020,,0.191
2006,1am000103,26462.530,35,5,756.070,36.800,5,2.750,13,9.681,-0.248,,-0.426,,0.303
2006,1am000104,257200.240,468,9,549.570,40.376,6,1.305,30,11.549,0.211,,0.042,,0.182
2006,1am000200,207276.010,374,10,554.210,39.794,9,1.760,38,14.328,0.441,,0.025,,0.208
