"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"1991"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Total";"31980";"17009";"14971"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Urbana";"9379";"4712";"4667"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Rural";"22601";"12297";"10304"
"MU";"1100023";"Ariquemes (RO)";"Total";"83684";"44267";"39417"
"MU";"1100023";"Ariquemes (RO)";"Urbana";"45283";"23147";"22136"
"MU";"1100023";"Ariquemes (RO)";"Rural";"38401";"21120";"17281"
"MU";"1100031";"Cabixi (RO)";"Total";"8174";"4348";"3826"
"MU";"1100031";"Cabixi (RO)";"Urbana";"1916";"950";"966"
"MU";"1100031";"Cabixi (RO)";"Rural";"6258";"3398";"2860"
"MU";"1100049";"Cacoal (RO)";"Total";"78934";"40612";"38322"
"MU";"1100049";"Cacoal (RO)";"Urbana";"44091";"21921";"22170"
"MU";"1100049";"Cacoal (RO)";"Rural";"34843";"18691";"16152"
"MU";"1100056";"Cerejeiras (RO)";"Total";"21608";"11230";"10378"
"MU";"1100056";"Cerejeiras (RO)";"Urbana";"14737";"7498";"7239"
"MU";"1100056";"Cerejeiras (RO)";"Rural";"6871";"3732";"3139"
"MU";"1100064";"Colorado do Oeste (RO)";"Total";"38993";"20480";"18513"
"MU";"1100064";"Colorado do Oeste (RO)";"Urbana";"15295";"7732";"7563"
"MU";"1100064";"Colorado do Oeste (RO)";"Rural";"23698";"12748";"10950"
"MU";"1100072";"Corumbiara (RO)";"Total";"...";"...";"..."
"MU";"1100072";"Corumbiara (RO)";"Urbana";"...";"...";"..."
"MU";"1100072";"Corumbiara (RO)";"Rural";"...";"...";"..."
"MU";"1100080";"Costa Marques (RO)";"Total";"10376";"5477";"4899"
"MU";"1100080";"Costa Marques (RO)";"Urbana";"6747";"3444";"3303"
"MU";"1100080";"Costa Marques (RO)";"Rural";"3629";"2033";"1596"
"MU";"1100098";"Espigão D'Oeste (RO)";"Total";"23156";"12068";"11088"
"MU";"1100098";"Espigão D'Oeste (RO)";"Urbana";"11186";"5589";"5597"
"MU";"1100098";"Espigão D'Oeste (RO)";"Rural";"11970";"6479";"5491"
"MU";"1100106";"Guajará-Mirim (RO)";"Total";"32583";"16400";"16183"
"MU";"1100106";"Guajará-Mirim (RO)";"Urbana";"27406";"13473";"13933"
"MU";"1100106";"Guajará-Mirim (RO)";"Rural";"5177";"2927";"2250"
"MU";"1100114";"Jaru (RO)";"Total";"63535";"33237";"30298"
"MU";"1100114";"Jaru (RO)";"Urbana";"27675";"13894";"13781"
"MU";"1100114";"Jaru (RO)";"Rural";"35860";"19343";"16517"
