Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2008,1ac000000,3683106.080,5165,427,713.090,33.517,118,25.593,199,41.597,0.235,0.232,0.160,0.127,0.311
2008,1ac000001,296500.870,348,16,852.010,36.566,14,2.423,34,15.924,0.010,0.229,-0.110,0.106,0.264
2008,1ac000002,615239.020,841,4,731.560,32.155,3,1.040,29,5.888,0.374,0.278,0.324,0.180,0.265
2008,1ac000003,230045.710,326,4,705.660,37.623,2,1.083,21,9.434,23.760,0.239,16.158,0.029,0.255
2008,1ac000004,311781.050,416,7,749.470,36.788,6,1.176,19,5.741,0.114,0.233,0.051,0.158,0.161
2008,1ac000100,965916.860,1156,92,835.570,35.804,46,5.106,69,19.893,0.192,0.207,0.089,0.071,0.306
2008,1ac000101,99021.040,173,4,572.380,38.884,3,1.189,16,8.665,26.241,0.447,27.833,0.216,0.229
2008,1ac000102,405376.530,594,140,682.450,33.175,49,27.427,48,18.223,0.159,-0.067,0.024,-0.118,0.342
2008,1ac010000,266544.110,301,19,885.530,36.000,13,2.732,37,16.206,0.345,0.225,0.309,0.103,0.266
2008,1ac010001,676386.910,1047,102,646.020,34.179,51,8.778,89,27.652,0.115,0.263,-0.061,0.148,0.246
2008,1ac010002,648464.510,924,90,701.800,33.330,49,9.277,73,28.121,0.164,0.217,0.058,0.093,0.281
2008,1ac010003,534917.900,774,71,691.110,38.465,30,7.902,80,30.565,0.756,0.208,0.529,0.100,0.283
2008,1ac010100,466355.420,625,59,746.170,32.933,27,8.253,70,23.241,0.386,0.158,0.120,0.033,0.278
2008,1ac010101,382551.640,549,46,696.820,35.953,19,4.779,46,15.052,0.009,0.196,-0.074,0.082,0.265
2008,1ac010102,440051.660,519,33,847.880,34.112,20,3.969,60,20.077,0.162,0.295,0.053,0.118,0.278
2008,1ac010103,669980.820,811,88,826.120,34.827,27,4.317,64,19.635,0.165,0.216,0.008,0.073,0.324
2008,1ac010104,478491.630,564,49,848.390,34.402,18,5.054,59,19.447,0.497,0.723,0.366,0.483,0.313
2008,1ac010105,121450814.910,79661,3381,1524.600,37.204,337,25.309,446,54.639,0.133,0.172,0.055,0.067,0.478
2008,1ac010106,1581336.360,2133,126,741.370,35.077,49,6.729,91,9.970,0.306,0.357,0.116,0.232,0.305
2008,1ac010200,430832.000,425,10,1013.720,33.492,9,1.534,35,8.934,1.528,0.361,1.223,0.269,0.418
2008,1ac010201,1615.220,2,2,807.610,28.000,2,2.000,2,2.000,-0.983,-0.512,-0.976,-0.523,
2008,1ac010202,1252003.570,1370,157,913.870,35.031,57,11.138,95,27.657,0.281,0.212,0.086,0.081,0.380
2008,1am000000,197557.690,307,3,643.510,38.713,3,1.173,34,13.916,0.027,0.835,-0.064,0.983,0.264
2008,1am000001,403121.240,482,4,836.350,37.929,3,1.160,37,10.424,0.226,0.969,-0.008,1.054,0.319
2008,1am000002,18783.430,18,3,1043.520,42.222,3,2.749,8,5.865,-0.493,0.135,-0.633,0.084,0.217
2008,1am000003,354690.900,609,5,582.420,38.928,4,1.110,48,8.323,-0.029,0.177,-0.072,0.080,0.231
2008,1am000004,19361224.630,6406,129,3022.360,37.196,58,5.960,181,47.861,-0.102,0.267,-0.109,0.147,0.672
2008,1am000005,632516.170,764,10,827.900,38.937,7,1.342,39,11.142,-0.255,0.394,-0.210,0.237,0.282
2008,1am000100,6306578.970,7329,326,860.500,36.426,106,11.124,228,38.342,0.085,0.146,-0.001,0.023,0.386
2008,1am000101,241735.550,354,9,682.870,39.949,8,1.783,38,11.455,-0.168,0.229,-0.202,0.078,0.267
2008,1am000102,641345.570,990,22,647.820,37.423,19,1.619,58,11.885,0.084,0.277,-0.078,0.134,0.182
2008,1am000103,364221.730,562,7,648.080,37.562,6,1.342,29,7.217,0.195,0.683,-0.007,0.613,0.253
2008,1am000104,390700.220,549,8,711.660,40.721,6,1.260,34,11.516,0.279,0.945,0.109,0.940,0.210
2008,1am000200,287179.040,396,16,725.200,41.000,14,2.390,47,14.242,-0.154,0.184,-0.172,0.032,0.213
2008,1am000201,681304.540,982,22,693.790,36.657,18,2.109,43,3.562,-0.146,0.155,-0.122,0.065,0.254
2008,1am000202,485137.440,662,5,732.840,38.459,5,1.056,38,8.237,0.054,1.060,-0.105,1.148,0.246
2008,1am000203,1988121.950,2986,102,665.810,36.122,46,6.117,156,29.446,0.258,0.304,0.142,0.154,0.264
2008,1am000204,5009916.900,3984,223,1257.510,34.324,88,13.523,168,43.350,-0.273,0.527,-0.134,0.221,0.473
