Ano,ID BRA,Renda Mensal Total,Total de Empregos,Total de Estabelecimentos,Renda Mensal Média,Média de idade,Diversidade de Atividades,Diversidade Efetiva de Atividades,Diversidade de Ocupações,Diversidade Efetiva de Ocupações,Crescimento Nominal dos Salários (1 ano),Crescimento Nominal dos Salários (5 anos),Crescimento Nominal dos Empregos (1 ano),Crescimento Nominal dos Empregos (5 anos),Índice de Gini
2013,1ac000000,10036627.050,7949,685,1262.630,33.694,168,33.953,252,51.604,0.170,0.222,0.063,0.090,0.327
2013,1ac000001,1272613.930,866,40,1469.530,35.344,26,3.758,71,25.430,0.361,0.338,0.324,0.200,0.308
2013,1ac000002,983533.130,827,12,1189.280,35.333,7,1.260,45,11.048,-0.113,0.098,-0.139,-0.003,0.286
2013,1ac000003,506299.800,421,11,1202.610,38.772,10,1.297,45,9.816,0.026,0.171,-0.034,0.052,0.221
2013,1ac000004,855219.480,688,9,1243.050,37.894,7,1.214,30,8.066,0.282,0.224,0.158,0.104,0.217
2013,1ac000100,2214126.780,1560,146,1419.310,37.326,54,8.261,106,28.139,0.379,0.180,0.160,0.062,0.345
2013,1ac000101,437484.370,339,6,1290.510,39.251,4,1.188,7,1.312,-0.151,0.346,-0.327,0.143,0.276
2013,1ac000102,2212933.960,1662,232,1331.490,36.132,65,14.517,97,25.550,0.112,0.404,0.104,0.228,0.337
2013,1ac010000,159665.260,117,33,1364.660,29.624,18,12.269,27,15.703,-0.674,-0.097,-0.611,-0.172,0.392
2013,1ac010001,1952503.500,1677,196,1164.280,34.613,76,16.162,127,38.576,0.149,0.236,0.106,0.099,0.268
2013,1ac010002,1485681.300,1257,124,1181.930,33.330,56,11.994,93,27.441,0.128,0.180,0.066,0.063,0.266
2013,1ac010003,1102033.130,866,99,1272.560,37.207,41,10.194,97,44.832,0.287,0.156,0.166,0.023,0.270
2013,1ac010100,1200897.040,847,93,1417.820,34.586,39,8.763,87,31.185,0.152,0.208,0.027,0.062,0.291
2013,1ac010101,1122791.890,978,69,1148.050,36.260,20,4.364,54,16.924,0.113,0.240,-0.010,0.122,0.275
2013,1ac010102,891864.180,618,50,1443.150,36.717,26,5.145,75,29.636,0.071,0.152,-0.058,0.037,0.260
2013,1ac010103,1820395.830,1456,138,1250.270,36.636,45,9.627,111,30.724,0.256,0.221,0.266,0.125,0.279
2013,1ac010104,1187132.060,821,72,1445.960,35.821,30,4.940,63,22.784,2.363,0.199,1.158,0.072,0.322
2013,1ac010105,227889320.340,101569,4476,2243.690,37.510,360,33.788,483,69.605,0.083,0.134,0.023,0.050,0.453
2013,1ac010106,2404747.440,1820,173,1321.290,35.445,65,12.573,132,40.921,0.186,0.087,0.036,-0.028,0.310
2013,1ac010200,728787.980,481,19,1515.150,36.613,13,1.747,39,8.460,0.227,0.111,0.141,0.023,0.268
2013,1ac010201,322881.300,208,4,1552.310,37.716,4,1.196,22,11.205,-0.016,1.885,0.015,1.532,0.292
2013,1ac010202,2950166.280,2205,246,1337.940,35.304,78,11.216,118,28.437,0.056,0.187,0.071,0.099,0.329
2013,1am000000,390918.210,349,4,1120.110,40.163,3,1.146,35,13.717,0.605,0.146,0.416,0.025,0.282
2013,1am000001,861134.850,617,7,1395.680,39.810,6,1.237,50,15.609,0.127,0.164,0.010,0.052,0.378
2013,1am000002,303937.180,227,8,1338.930,38.392,7,1.504,27,7.425,3.977,0.745,8.208,0.651,0.306
2013,1am000003,811806.600,832,7,975.730,40.538,6,1.137,59,10.755,0.151,0.180,-0.021,0.064,0.232
2013,1am000004,15959983.570,4837,163,3299.560,39.316,67,5.679,163,39.071,0.321,-0.038,1.266,-0.056,0.645
2013,1am000005,732342.460,707,12,1035.850,41.914,10,1.723,50,16.702,0.190,0.030,0.106,-0.012,0.206
2013,1am000100,15536910.980,11210,496,1385.990,37.824,142,10.345,262,36.117,0.481,0.198,0.278,0.071,0.345
2013,1am000101,373434.730,346,16,1079.290,41.095,13,2.618,54,18.994,-0.896,0.091,-0.819,-0.003,0.262
2013,1am000102,661190.140,614,37,1076.860,39.764,19,4.037,62,22.187,0.334,0.006,0.175,-0.091,0.240
2013,1am000103,646212.910,495,10,1305.480,41.721,9,1.483,38,8.187,0.437,0.122,0.254,-0.023,0.337
2013,1am000104,862801.020,615,16,1402.930,41.693,9,1.341,61,19.040,0.615,0.172,0.344,0.021,0.270
2013,1am000200,1325029.410,1075,48,1232.590,41.050,25,3.039,80,19.290,0.299,0.358,0.211,0.221,0.252
2013,1am000201,1861355.780,1369,44,1359.650,38.358,25,2.301,89,18.772,0.249,0.223,0.123,0.066,0.305
2013,1am000202,970648.130,821,4,1182.280,39.515,3,1.048,35,5.966,0.262,0.149,0.096,0.051,0.271
2013,1am000203,1974970.450,1679,142,1176.280,33.369,69,21.239,142,45.003,-0.421,-0.001,-0.481,-0.109,0.286
2013,1am000204,6792781.800,5058,327,1342.980,35.319,113,15.438,189,38.973,0.169,0.063,0.120,0.049,0.374
2013,1am000205,1064482.960,837,13,1271.780,38.056,13,2.022,78,24.935,0.269,0.112,0.120,-0.004,0.318
2013,1am000206,1179796714.150,557950,17025,2114.520,35.995,531,93.029,562,96.431,0.124,0.121,0.044,0.048,0.452
2013,1am000300,1465946.990,1221,21,1200.610,39.917,16,1.451,77,14.305,0.103,0.219,0.053,0.099,0.315
2013,1am000301,731469.500,705,18,1037.550,39.441,11,1.359,29,5.026,0.549,0.307,0.475,0.168,0.219
2013,1am000302,3236842.330,3099,123,1044.480,37.811,54,3.047,106,18.962,-0.112,0.123,0.055,0.034,0.304
2013,1am000303,995555.500,734,15,1356.340,39.466,10,1.463,70,18.127,0.367,0.218,0.181,0.056,0.289
2013,1am000304,7617009.410,6332,421,1202.940,37.558,97,8.664,200,32.122,0.036,0.123,0.101,0.021,0.299
2013,1am000305,609778.660,463,13,1317.020,38.099,10,1.857,57,17.957,0.442,0.305,0.221,0.133,0.306
2013,1am000306,1043270.420,945,18,1103.990,41.992,16,1.624,66,18.669,0.801,0.168,0.613,0.035,0.278
2013,1am000400,11768015.170,5660,147,2079.160,37.316,70,7.116,239,62.697,0.417,0.199,0.237,0.071,0.422
2013,1am000401,2264788.020,1769,107,1280.270,36.296,56,7.150,124,34.458,0.424,0.135,0.289,0.012,0.297
2013,1am000500,627481.700,619,20,1013.700,38.507,16,1.892,56,14.142,0.286,0.149,0.209,0.035,0.210
2013,1am000501,3989135.910,2036,263,1959.300,33.892,86,32.620,155,30.950,-0.431,0.188,-0.559,-0.011,0.538
2013,1am000502,260629.540,214,11,1217.900,36.855,7,1.719,29,12.240,3.529,0.619,5.086,0.511,0.262
2013,1am010000,43176.270,26,6,1660.630,37.846,5,4.411,11,8.755,-0.829,-0.289,-0.881,-0.405,0.414
2013,1am010001,606920.870,481,6,1261.790,37.657,6,1.227,31,8.481,-0.033,0.115,-0.181,-0.024,0.269
2013,1am010100,900746.540,832,25,1082.630,40.857,18,1.899,77,20.823,0.040,0.659,0.004,0.614,0.268
2013,1am010101,841505.390,696,34,1209.060,38.602,23,3.364,78,25.581,0.094,0.262,0.019,0.174,0.328
2013,1am010102,363955.920,294,12,1237.950,41.105,9,1.909,41,15.478,0.157,0.194,0.267,0.071,0.277
2013,1am010103,2938854.100,2175,84,1351.200,36.784,37,2.213,114,12.621,0.005,0.143,-0.117,0.037,0.292
2013,1am020000,552355.250,442,8,1249.670,37.855,6,1.268,32,11.306,0.263,0.118,0.146,0.043,0.367
2013,1am020001,1108261.580,962,8,1152.040,37.068,7,1.308,53,15.623,0.848,0.158,0.365,0.084,0.303
2013,1am020002,1371858.900,1189,45,1153.790,39.682,27,2.293,74,15.044,-0.343,0.171,-0.341,0.095,0.233
2013,1am020003,1420001.010,1416,10,1002.830,40.270,9,1.120,85,16.126,0.483,1.198,0.395,1.422,0.252
2013,1am020004,81692.680,57,11,1433.210,32.211,8,5.025,18,12.198,-0.870,0.421,-0.905,0.324,0.423
2013,1am020005,1222266.130,1155,14,1058.240,37.561,10,1.172,57,12.821,0.478,0.197,0.378,0.130,0.224
2013,1am020006,954851.850,801,13,1192.080,37.940,11,1.477,38,7.679,0.319,0.762,0.179,0.786,0.258
2013,1am020007,2139189.000,1846,160,1158.820,37.446,65,11.469,97,18.233,-0.111,0.078,-0.185,0.003,0.339
2013,1am020008,376348.090,357,7,1054.200,38.908,5,1.225,24,6.474,5.200,0.174,13.280,0.027,0.226
2013,1am020100,1634255.820,1091,31,1497.940,40.333,24,2.713,71,14.332,0.394,0.209,0.213,0.055,0.342
2013,1am020101,1299280.850,1552,63,837.170,40.103,27,2.145,93,19.344,0.175,0.123,0.067,0.025,0.176
2013,1am020102,893287.330,719,15,1242.400,42.149,9,1.567,37,9.669,0.037,0.120,-0.155,-0.002,0.285
2013,1am020103,726795.140,702,21,1035.320,42.343,10,1.704,65,19.370,0.119,0.228,0.006,0.072,0.232
2013,1am020104,454062.600,349,9,1301.040,43.203,6,1.454,34,9.461,0.113,0.123,-0.039,0.002,0.293
2013,1am020105,464452.530,420,4,1105.840,40.831,3,1.111,30,11.579,0.140,0.080,0.052,0.015,0.226
2013,1am020106,669521.720,565,7,1184.990,37.880,6,1.205,50,16.578,0.914,0.124,0.692,0.012,0.279
2013,1am030000,2358832.420,2211,127,1066.860,37.986,45,4.858,119,25.592,0.281,0.201,0.200,0.098,0.279
2013,1am030001,1023901.200,931,7,1099.790,40.567,6,1.117,59,17.023,0.085,0.345,0.035,0.147,0.264
2013,1am030100,906739.930,855,71,1060.520,37.457,35,4.261,77,20.580,0.129,0.087,0.053,0.019,0.224
2013,1am030101,1728396.840,1504,39,1149.200,39.059,23,2.291,90,25.694,0.133,0.111,0.105,-0.001,0.285
2013,1am030102,3007870.600,2474,274,1215.790,37.013,94,12.933,162,42.030,0.205,0.179,0.128,0.059,0.316
2013,1am030103,1595994.030,1221,71,1307.120,40.848,34,3.776,96,25.205,0.033,0.144,-0.015,0.047,0.313
2013,1am030104,751417.780,663,16,1133.360,41.804,13,1.611,56,15.587,0.221,0.169,0.052,0.082,0.253
2013,1am030200,254485.330,197,13,1291.800,44.340,8,2.027,38,14.618,0.020,0.586,-0.030,0.550,0.301
2013,1am030201,2290349.550,1769,67,1294.710,37.085,33,3.268,81,15.768,0.512,0.158,0.145,0.066,0.265
2013,1am030202,1042420.890,1024,7,1017.990,43.102,7,1.126,56,15.637,0.167,0.224,-0.006,0.052,0.289
2013,1ap000000,1079557.800,817,62,1321.370,34.176,34,11.183,79,29.171,-0.774,0.328,-0.219,0.222,0.312
2013,1ap000001,228653.940,226,10,1011.740,39.792,5,1.500,21,9.921,-0.076,0.091,-0.149,-0.030,0.209
2013,1ap000002,1168998.490,716,27,1632.680,35.246,21,4.488,73,24.600,0.765,0.149,0.157,0.026,0.336
2013,1ap000100,665323.340,597,49,1114.440,36.159,28,6.248,67,24.963,-0.140,0.254,-0.025,0.107,0.235
2013,1ap000101,959931.230,829,145,1157.940,33.708,55,17.474,95,32.661,-0.424,0.088,-0.342,0.025,0.275
2013,1ap010000,246756.550,266,21,927.660,39.177,9,2.165,35,16.300,-0.191,0.076,-0.259,-0.025,0.172
2013,1ap010001,5377934.300,2201,47,2443.410,35.022,28,6.351,154,46.692,0.157,0.689,-0.075,0.398,0.386
2013,1ap010002,259169.280,250,23,1036.680,39.084,9,2.568,39,17.767,-0.006,0.136,-0.046,0.029,0.186
2013,1ap010003,273031996.810,101859,4400,2680.490,37.421,331,32.766,450,49.249,0.127,0.128,0.023,0.046,0.486
2013,1ap010004,6848286.280,2323,47,2948.040,35.054,34,7.108,175,63.966,0.515,0.170,0.644,0.082,0.424
2013,1ap010005,2717089.760,1888,86,1439.140,36.189,39,6.718,135,32.667,0.659,0.178,0.473,0.063,0.293
2013,1ap010006,16014809.560,11027,638,1452.330,35.030,165,33.425,309,76.508,0.192,0.159,0.117,0.080,0.350
2013,1ap010007,656698.040,420,15,1563.570,38.252,13,2.780,75,33.609,0.150,0.167,0.027,0.050,0.348
2013,1ap010100,3418884.550,2191,214,1560.420,35.519,79,13.477,157,46.270,-0.047,0.192,-0.173,0.036,0.347
2013,1ap010101,1426558.890,962,54,1482.910,39.296,23,4.688,97,33.157,0.137,0.113,0.032,-0.020,0.326
2013,1ap010102,190045.630,159,31,1195.260,38.057,20,9.054,42,20.531,-0.445,-0.043,-0.585,-0.119,0.266
2013,1pa000000,12907361.330,7453,184,1731.830,37.210,79,12.844,252,55.368,-0.126,0.075,-0.125,0.004,0.396
2013,1pa000001,3030326.530,1986,33,1525.840,35.393,20,1.445,58,10.464,23.587,0.267,19.464,0.088,0.369
2013,1pa000100,682412.280,614,12,1111.420,39.195,9,2.227,70,25.107,0.050,0.244,0.138,0.133,0.250
2013,1pa000101,9582264.610,4881,125,1963.180,35.058,66,6.542,177,11.135,0.087,0.152,-0.060,0.043,0.402
2013,1pa000102,3969541.100,3315,219,1197.450,36.940,73,5.552,145,31.873,0.236,0.212,0.130,0.083,0.295
2013,1pa000103,16469814.410,7551,314,2181.140,36.207,106,12.814,236,57.477,0.102,0.097,0.011,-0.001,0.438
2013,1pa000104,1176827.960,1007,50,1168.650,38.326,30,2.468,89,22.432,0.001,0.206,-0.129,0.051,0.295
