IBGE;TSE;MUNICIPIO;UF;PIP
2506509;20311;GURJÃO;PB;525
2506608;20338;IBIARA;PB;585
2506707;20354;IMACULADA;PB;631
2506806;20370;INGÁ;PB;1994
2506905;20397;ITABAIANA;PB;1981
2507002;20419;ITAPORANGA;PB;1410
2507101;20435;ITAPOROROCA;PB;1918
2507200;20451;ITATUBA;PB;805
2507309;20478;JACARAÚ;PB;2265
2507408;20494;JERICÓ;PB;934
2507507;20516;JOÃO PESSOA;PB;53175
2507606;20532;JUAREZ TÁVORA;PB;824
2507705;20559;JUAZEIRINHO;PB;1298
2507804;20575;JUNCO DO SERIDÓ;PB;857
2507903;20591;JURIPIRANGA;PB;515
2508000;20613;JURU;PB;953
2508109;20630;LAGOA;PB;434
2508208;20656;LAGOA DE DENTRO;PB;931
2508307;20672;LAGOA SECA;PB;2302
2508406;20699;LASTRO;PB;508
2508505;20710;LIVRAMENTO;PB;821
2508554;19160;LOGRADOURO;PB;831
2508604;20737;LUCENA;PB;2441
2508703;20753;MÃE D'ÁGUA;PB;409
2508802;20770;MALTA;PB;444
2508901;20796;MAMANGUAPE;PB;2943
2509008;20818;MANAÍRA;PB;701
2509057;19968;MARCAÇÃO;PB;419
2509107;20834;MARI;PB;1819
2509156;19461;MARIZÓPOLIS;PB;748
2509206;20850;MASSARANDUBA;PB;1379
2509305;20877;MATARACA;PB;861
2509339;19143;MATINHAS;PB;561
2509370;19488;MATO GROSSO;PB;429
2509396;19984;MATURÉIA;PB;569
2509404;20893;MOGEIRO;PB;1342
2509503;20915;MONTADAS;PB;781
2509602;20931;MONTE HOREBE;PB;542
2509701;20958;MONTEIRO;PB;2996
2509800;20974;MULUNGU;PB;945
2509909;20990;NATUBA;PB;483
2510006;21016;NAZAREZINHO;PB;596
2510105;21032;NOVA FLORESTA;PB;903
2510204;21059;NOVA OLINDA;PB;523
2510303;21075;NOVA PALMEIRA;PB;643
2510402;21091;OLHO D'ÁGUA;PB;887
2510501;21113;OLIVEDOS;PB;616
2510600;21130;OURO VELHO;PB;399
2510659;19720;PARARI;PB;321
2510709;21156;PASSAGEM;PB;283
2510808;21172;PATOS;PB;8177
2510907;21199;PAULISTA;PB;1267
2511004;21210;PEDRA BRANCA;PB;370
2511103;21237;PEDRA LAVRADA;PB;710
2511202;21253;PEDRAS DE FOGO;PB;1823
2511301;21270;PIANCÓ;PB;1431
2511400;21296;PICUÍ;PB;1320
2511509;21318;PILAR;PB;901
2511608;21334;PILÕES;PB;693
2511707;21350;PILÕEZINHOS;PB;656
2511806;21377;PIRPIRITUBA;PB;693
2511905;21393;PITIMBU;PB;2359
2512002;21415;POCINHOS;PB;1672
2512036;19640;POÇO DANTAS;PB;384
2512077;19526;POÇO DE JOSÉ DE MOURA;PB;929
2512101;21431;POMBAL;PB;3262
2512200;21458;PRATA;PB;564
2512309;21474;PRINCESA ISABEL;PB;1849
2512408;21490;PUXINANÃ;PB;1074
2512507;21512;QUEIMADAS;PB;3833
2512606;21539;QUIXABA;PB;341
2512705;21555;REMÍGIO;PB;1507
2512721;19747;PEDRO RÉGIS;PB;1167
2512747;19208;RIACHÃO;PB;442
2512754;19127;RIACHÃO DO BACAMARTE;PB;679
2512762;19003;RIACHÃO DO POÇO;PB;384
2512788;19828;RIACHO DE SANTO ANTÔNIO;PB;419
2512804;21571;RIACHO DOS CAVALOS;PB;1001
2512903;21598;RIO TINTO;PB;2079
2513000;21610;SALGADINHO;PB;434
2513109;21636;SALGADO DE SÃO FÉLIX;PB;715
2513158;20001;SANTA CECÍLIA;PB;839
2513208;21652;SANTA CRUZ;PB;876
2513307;21679;SANTA HELENA;PB;779
2513356;19569;SANTA INÊS;PB;261
2513406;21695;SANTA LUZIA;PB;1170
2513505;21717;SANTANA DE MANGUEIRA;PB;350
2513604;21733;SANTANA DOS GARROTES;PB;770
2513653;19666;SANTARÉM;PB;420
2513703;21750;SANTA RITA;PB;8911
2513802;21776;SANTA TERESINHA;PB;741
2513851;19267;SANTO ANDRÉ;PB;689
2513901;21792;SÃO BENTO;PB;3778
2513927;19402;SÃO BENTINHO;PB;625
2513943;19224;SÃO DOMINGOS DO CARIRI;PB;750
2513968;19429;SÃO DOMINGOS DE POMBAL;PB;520
2513984;19860;SÃO FRANCISCO;PB;451
2514008;21814;SÃO JOÃO DO CARIRI;PB;491
2514107;21830;SÃO JOÃO DO TIGRE;PB;547
2514206;21857;SÃO JOSÉ DA LAGOA TAPADA;PB;545
2514305;21873;SÃO JOSÉ DE CAIANA;PB;279
2514404;21890;SÃO JOSÉ DE ESPINHARAS;PB;536
2514453;19046;SÃO JOSÉ DOS RAMOS;PB;635
2514503;21911;SÃO JOSÉ DE PIRANHAS;PB;1648
2514552;19445;SÃO JOSÉ DE PRINCESA;PB;268
2514602;21938;SÃO JOSÉ DO BONFIM;PB;630
2514651;19542;SÃO JOSÉ DO BREJO DO CRUZ;PB;244
2514701;21954;SÃO JOSÉ DO SABUGI;PB;531
2514800;21970;SÃO JOSÉ DOS CORDEIROS;PB;575
2514909;21997;SÃO MAMEDE;PB;823
2515005;22012;SÃO MIGUEL DE TAIPU;PB;848
2515104;22039;SÃO SEBASTIÃO DE LAGOA DE ROÇA;PB;1228
2515203;22055;SÃO SEBASTIÃO DO UMBUZEIRO;PB;418
2515302;22071;SAPÉ;PB;4053
2515401;22098;SÃO VICENTE DO SERIDÓ;PB;351
2515500;22110;SERRA BRANCA;PB;2143
2515609;22136;SERRA DA RAIZ;PB;340
2515708;22152;SERRA GRANDE;PB;212
2515807;22179;SERRA REDONDA;PB;979
2515906;22195;SERRARIA;PB;727
2515930;19186;SERTÃOZINHO;PB;658
2515971;19020;SOBRADO;PB;204
2516003;22217;SOLÂNEA;PB;1673
2516102;22233;SOLEDADE;PB;1285
2516151;19283;SOSSÊGO;PB;416
2516201;22250;SOUSA;PB;5573
2516300;22276;SUMÉ;PB;1325
2516409;22292;TACIMA;PB;1325
2516508;22314;TAPEROÁ;PB;1149
2516607;22330;TAVARES;PB;1310
2516706;22357;TEIXEIRA;PB;1403
2516755;19682;TENÓRIO;PB;620
2516805;22373;TRIUNFO;PB;1240
2516904;22390;UIRAÚNA;PB;1523
2517001;22411;UMBUZEIRO;PB;798
2517100;22438;VÁRZEA;PB;629
2517209;19887;VIEIRÓPOLIS;PB;747
2517407;19348;ZABELÊ;PB;446
2600054;26310;ABREU E LIMA;PE;6421
2600104;23019;AFOGADOS DA INGAZEIRA;PE;2875
2600203;23035;AFRÂNIO;PE;1454
2600302;23051;AGRESTINA;PE;2177
2600401;23078;ÁGUA PRETA;PE;1705
2600500;23094;ÁGUAS BELAS;PE;1810
2600609;23116;ALAGOINHA;PE;751
2600708;23132;ALIANÇA;PE;2272
2600807;23159;ALTINHO;PE;1437
2600906;23175;AMARAJI;PE;994
2601003;23191;ANGELIM;PE;505
2601052;23205;ARAÇOIABA;PE;1064
2601102;23213;ARARIPINA;PE;5512
2601201;23230;ARCOVERDE;PE;5442
2601300;23256;BARRA DE GUABIRABA;PE;549
2601409;23272;BARREIROS;PE;2276
2601508;23299;BELÉM DE MARIA;PE;703
2601607;23310;BELÉM DE SÃO FRANCISCO;PE;1477
2601706;23337;BELO JARDIM;PE;5305
2601805;23353;BETÂNIA;PE;1030
2601904;23370;BEZERROS;PE;5174
2602001;23396;BODOCÓ;PE;1798
2602100;23418;BOM CONSELHO;PE;2246
2602209;23434;BOM JARDIM;PE;3816
2602308;23450;BONITO;PE;1899
2602407;23477;BREJÃO;PE;282
2602506;23493;BREJINHO;PE;546
2602605;23515;BREJO DA MADRE DE DEUS;PE;3776
2602704;23531;BUENOS AIRES;PE;829
2602803;23558;BUÍQUE;PE;1619
2602902;23574;CABO DE SANTO AGOSTINHO;PE;12849
2603009;23590;CABROBÓ;PE;2538
2603108;23612;CACHOEIRINHA;PE;1422
2603207;23639;CAETÉS;PE;712
2603306;23655;CALÇADO;PE;539
2603405;23671;CALUMBI;PE;345
2603454;26298;CAMARAGIBE;PE;9724
2603504;23698;CAMOCIM DE SÃO FÉLIX;PE;1014
2603603;23710;CAMUTANGA;PE;560
2603702;23736;CANHOTINHO;PE;1218
2603801;23752;CAPOEIRAS;PE;703
2603900;23779;CARNAÍBA;PE;1188
2603926;23167;CARNAUBEIRA DA PENHA;PE;287
2604007;23795;CARPINA;PE;6110
2604106;23817;CARUARU;PE;22524
2604155;23221;CASINHAS;PE;1717
2604205;23833;CATENDE;PE;2104
2604304;23850;CEDRO;PE;761
2604403;23876;CHÃ DE ALEGRIA;PE;682
2604502;23892;CHÃ GRANDE;PE;1163
2604601;23914;CONDADO;PE;1390
2604700;23930;CORRENTES;PE;712
2604809;23957;CORTÊS;PE;632
2604908;23973;CUMARU;PE;1626
2605004;23990;CUPIRA;PE;1625
2605103;24015;CUSTÓDIA;PE;3793
2605152;23140;DORMENTES;PE;1202
2605202;24031;ESCADA;PE;3258
2605301;24058;EXU;PE;1817
2605400;24074;FEIRA NOVA;PE;1769
2605459;30015;FERNANDO DE NORONHA;PE;475
2605509;24090;FERREIROS;PE;825
2605608;24112;FLORES;PE;947
2605707;24139;FLORESTA;PE;1760
2605806;24155;FREI MIGUELINHO;PE;2116
2605905;24171;GAMELEIRA;PE;976
2606002;24198;GARANHUNS;PE;10382
2606101;24210;GLÓRIA DO GOITÁ;PE;1380
2606200;24236;GOIANA;PE;6598
2606309;24252;GRANITO;PE;468
2606408;24279;GRAVATÁ;PE;8120
2606507;24295;IATI;PE;648
2606606;24317;IBIMIRIM;PE;2805
2606705;24333;IBIRAJUBA;PE;461
2606804;24350;IGARASSU;PE;8526
2606903;24376;IGUARACI;PE;751
2607000;24392;INAJÁ;PE;835
2607109;24414;INGAZEIRA;PE;304
2607208;24430;IPOJUCA;PE;7000
2607307;24457;IPUBI;PE;1179
2607406;24473;ITACURUBA;PE;485
2607505;24490;ITAÍBA;PE;1141
2607604;24511;ILHA DE ITAMARACÁ;PE;4544
2607653;25976;ITAMBÉ;PE;2207
2607703;24538;ITAPETIM;PE;908
2607752;26336;ITAPISSUMA;PE;1614
2607802;24554;ITAQUITINGA;PE;1016
2607901;24570;JABOATÃO DOS GUARARAPES;PE;37393
2607950;23302;JAQUEIRA;PE;620
2608008;24597;JATAÚBA;PE;1326
2608057;23264;JATOBÁ;PE;1536
2608107;24619;JOÃO ALFREDO;PE;1988
2608206;24635;JOAQUIM NABUCO;PE;905
2608255;23124;JUCATI;PE;355
2608305;24651;JUPI;PE;834
2608404;24678;JUREMA;PE;897
2608453;23027;LAGOA DO CARRO;PE;1647
2608503;24694;LAGOA DE ITAENGA;PE;1184
2608602;24716;LAGOA DO OURO;PE;593
2608701;24732;LAGOA DOS GATOS;PE;740
2608750;23183;LAGOA GRANDE;PE;1965
2608800;24759;LAJEDO;PE;3494
2608909;24775;LIMOEIRO;PE;5205
2609006;24791;MACAPARANA;PE;1443
2609105;24813;MACHADOS;PE;676
2609154;23248;MANARI;PE;426
2609204;24830;MARAIAL;PE;513
2609303;24856;MIRANDIBA;PE;942
2609402;24872;MORENO;PE;3972
2609501;24899;NAZARÉ DA MATA;PE;1995
2609600;24910;OLINDA;PE;19636
2609709;24937;OROBÓ;PE;2305
2609808;24953;OROCÓ;PE;1281
2609907;24970;OURICURI;PE;4623
2610004;24996;PALMARES;PE;3626
2610103;25011;PALMEIRINA;PE;352
2610202;25038;PANELAS;PE;1522
2610301;25054;PARANATAMA;PE;396
2610400;25070;PARNAMIRIM;PE;1041
2610509;25097;PASSIRA;PE;2521
2610608;25119;PAUDALHO;PE;4322
2610707;25135;PAULISTA;PE;19948
2610806;25151;PEDRA;PE;953
2610905;25178;PESQUEIRA;PE;4802
2611002;25194;PETROLÂNDIA;PE;2199
2611101;25216;PETROLINA;PE;24006
2611200;25232;POÇÃO;PE;681
2611309;25259;POMBOS;PE;2069
2611408;25275;PRIMAVERA;PE;761
2611507;25291;QUIPAPÁ;PE;1007
2611533;23000;QUIXABA;PE;474
2611606;25313;RECIFE;PE;60960
2611705;25330;RIACHO DAS ALMAS;PE;1815
2611804;25356;RIBEIRÃO;PE;2495
2611903;25372;RIO FORMOSO;PE;1139
2612000;25399;SAIRÉ;PE;1086
2612109;25410;SALGADINHO;PE;659
2612208;25437;SALGUEIRO;PE;6009
2612307;25453;SALOÁ;PE;752
2612406;25470;SANHARÓ;PE;1977
2612455;23108;SANTA CRUZ;PE;492
2612471;23043;SANTA CRUZ DA BAIXA VERDE;PE;678
2612505;25496;SANTA CRUZ DO CAPIBARIBE;PE;5979
2612554;23329;SANTA FILOMENA;PE;664
2612604;25518;SANTA MARIA DA BOA VISTA;PE;3743
2612703;25534;SANTA MARIA DO CAMBUCÁ;PE;1259
2612802;25550;SANTA TEREZINHA;PE;876
2612901;25577;SÃO BENEDITO DO SUL;PE;516
2613008;25593;SÃO BENTO DO UNA;PE;2434
2613107;25615;SÃO CAITANO;PE;2665
2613206;25631;SÃO JOÃO;PE;973
2613305;25658;SÃO JOAQUIM DO MONTE;PE;1298
2613404;25674;SÃO JOSÉ DA COROA GRANDE;PE;1850
2613503;25690;SÃO JOSÉ DO BELMONTE;PE;2195
2613602;25712;SÃO JOSÉ DO EGITO;PE;2308
2613701;25739;SÃO LOURENÇO DA MATA;PE;7435
2613800;25755;SÃO VICENTE FERRÉR;PE;1004
2613909;25771;SERRA TALHADA;PE;5653
2614006;25798;SERRITA;PE;2407
2614105;25810;SERTÂNIA;PE;3379
2614204;25836;SIRINHAÉM;PE;2318
2614303;25852;MOREILÂNDIA;PE;694
2614402;25879;SOLIDÃO;PE;336
2614501;25895;SURUBIM;PE;6045
2614600;25917;TABIRA;PE;2187
2614709;25933;TACAIMBÓ;PE;1024
2614808;25950;TACARATU;PE;2239
2614857;23280;TAMANDARÉ;PE;2236
2615003;25992;TAQUARITINGA DO NORTE;PE;2799
2615102;26018;TEREZINHA;PE;257
2615201;26034;TERRA NOVA;PE;805
2615300;26050;TIMBAÚBA;PE;4476
2615409;26077;TORITAMA;PE;2565
2615508;26093;TRACUNHAÉM;PE;794
2615607;26115;TRINDADE;PE;1900
2615706;26131;TRIUNFO;PE;902
2615805;26158;TUPANATINGA;PE;853
2615904;26174;TUPARETAMA;PE;527
2616001;26190;VENTUROSA;PE;855
2616100;26212;VERDEJANTE;PE;711
2616183;23086;VERTENTE DO LÉRIO;PE;1230
2616209;26239;VERTENTES;PE;2421
2616308;26255;VICÊNCIA;PE;1538
2616407;26271;VITÓRIA DE SANTO ANTÃO;PE;7363
2616506;23060;XEXÉU;PE;660
2700102;27014;ÁGUA BRANCA;AL;2242
2700201;27030;ANADIA;AL;1950
2700300;27057;ARAPIRACA;AL;27772
2700409;27073;ATALAIA;AL;3225
2700508;27090;BARRA DE SANTO ANTÔNIO;AL;1741
2700607;27111;BARRA DE SÃO MIGUEL;AL;2119
2700706;27138;BATALHA;AL;1596
2700805;27154;BELÉM;AL;957
2700904;27170;BELO MONTE;AL;794
2701001;27197;BOCA DA MATA;AL;2137
2701100;27219;BRANQUINHA;AL;1661
2701209;27235;CACIMBINHAS;AL;1894
2701308;27251;CAJUEIRO;AL;1239
2701357;27081;CAMPESTRE;AL;569
2701407;27278;CAMPO ALEGRE;AL;1696
2701506;27294;CAMPO GRANDE;AL;853
2701605;27316;CANAPI;AL;1939
2701704;27332;CAPELA;AL;1313
2701803;27359;CARNEIROS;AL;1389
2701902;27375;CHÃ PRETA;AL;640
2702009;27391;COITÉ DO NÓIA;AL;2123
2702108;27413;COLÔNIA LEOPOLDINA;AL;974
2702207;27430;COQUEIRO SECO;AL;403
2702306;27456;CORURIPE;AL;4128
2702355;28894;CRAÍBAS;AL;3583
2702405;27472;DELMIRO GOUVEIA;AL;6094
2702504;27499;DOIS RIACHOS;AL;922
2702553;27049;ESTRELA DE ALAGOAS;AL;2472
2702603;27510;FEIRA GRANDE;AL;2281
2702702;27537;FELIZ DESERTO;AL;377
2702801;27553;FLEXEIRAS;AL;390
2702900;27570;GIRAU DO PONCIANO;AL;3131
2703007;27596;IBATEGUARA;AL;1048
2703106;27618;IGACI;AL;4992
2703205;27634;IGREJA NOVA;AL;3218
2703304;27650;INHAPI;AL;1352
2703403;27677;JACARÉ DOS HOMENS;AL;635
2703502;27693;JACUÍPE;AL;498
2703601;27715;JAPARATINGA;AL;1465
2703700;27731;JARAMATAIA;AL;641
2703759;27065;JEQUIÁ DA PRAIA;AL;1128
2703809;27758;JOAQUIM GOMES;AL;1135
2703908;27774;JUNDIÁ;AL;675
2704005;27790;JUNQUEIRO;AL;3910
2704104;27812;LAGOA DA CANOA;AL;2279
2704203;27839;LIMOEIRO DE ANADIA;AL;3532
2704302;27855;MACEIÓ;AL;52516
2704401;27871;MAJOR ISIDORO;AL;2211
2704500;27898;MARAGOGI;AL;3942
2704609;27910;MARAVILHA;AL;912
2704708;27936;MARECHAL DEODORO;AL;7264
2704807;27952;MARIBONDO;AL;1475
2704906;27979;MAR VERMELHO;AL;483
2705002;27995;MATA GRANDE;AL;2118
2705101;28010;MATRIZ DE CAMARAGIBE;AL;1278
2705200;28037;MESSIAS;AL;833
2705309;28053;MINADOR DO NEGRÃO;AL;446
2705408;28070;MONTEIRÓPOLIS;AL;904
2705507;28096;MURICI;AL;2118
2705606;28118;NOVO LINO;AL;1112
2705705;28134;OLHO D'ÁGUA DAS FLORES;AL;3168
2705804;28150;OLHO D'ÁGUA DO CASADO;AL;844
2705903;28177;OLHO D'ÁGUA GRANDE;AL;843
2706000;28193;OLIVENÇA;AL;1098
2706109;28215;OURO BRANCO;AL;898
2706208;28231;PALESTINA;AL;506
2706307;28258;PALMEIRA DOS ÍNDIOS;AL;8080
2706406;28274;PÃO DE AÇÚCAR;AL;2533
2706422;27022;PARICONHA;AL;1267
2706448;27006;PARIPUEIRA;AL;1925
2706505;28290;PASSO DE CAMARAGIBE;AL;1264
2706604;28312;PAULO JACINTO;AL;716
2706703;28339;PENEDO;AL;5708
2706802;28355;PIAÇABUÇU;AL;1689
2706901;28371;PILAR;AL;3267
2707008;28398;PINDOBA;AL;405
2707107;28410;PIRANHAS;AL;3585
2707206;28436;POÇO DAS TRINCHEIRAS;AL;1528
2707305;28452;PORTO CALVO;AL;1732
2707404;28479;PORTO DE PEDRAS;AL;1298
2707503;28495;PORTO REAL DO COLÉGIO;AL;2128
2707602;28517;QUEBRANGULO;AL;1047
2707701;28533;RIO LARGO;AL;7043
2707800;28550;ROTEIRO;AL;482
2707909;28576;SANTA LUZIA DO NORTE;AL;564
2708006;28592;SANTANA DO IPANEMA;AL;4642
2708105;28614;SANTANA DO MUNDAÚ;AL;1073
2708204;28630;SÃO BRÁS;AL;571
2708303;28657;SÃO JOSÉ DA LAJE;AL;1822
2708402;28673;SÃO JOSÉ DA TAPERA;AL;2642
2708501;28690;SÃO LUÍS DO QUITUNDE;AL;2212
2708600;28711;SÃO MIGUEL DOS CAMPOS;AL;4572
2708709;28738;SÃO MIGUEL DOS MILAGRES;AL;921
2708808;28754;SÃO SEBASTIÃO;AL;3255
2708907;28770;SATUBA;AL;1697
2708956;28916;SENADOR RUI PALMEIRA;AL;830
2709004;28797;TANQUE D'ARCA;AL;1157
2709103;28819;TAQUARANA;AL;1708
2709152;28932;TEOTÔNIO VILELA;AL;3123
2709202;28835;TRAIPU;AL;2766
2709301;28851;UNIÃO DOS PALMARES;AL;2225
2709400;28878;VIÇOSA;AL;2142
2800100;31011;AMPARO DE SÃO FRANCISCO;SE;230
2800209;31038;AQUIDABÃ;SE;2943
2800308;31054;ARACAJU;SE;46533
2800506;31097;AREIA BRANCA;SE;2524
2800605;31119;BARRA DOS COQUEIROS;SE;5854
2800670;31151;BOQUIM;SE;1
2800704;31135;BREJO GRANDE;SE;665
2801009;31194;CAMPO DO BRITO;SE;2973
2801108;31216;CANHOBA;SE;618
2801207;31232;CANINDÉ DE SÃO FRANCISCO;SE;3165
2801306;31259;CAPELA;SE;4311
2801405;31275;CARIRA;SE;3207
2801504;31291;CARMÓPOLIS;SE;1827
2801603;31313;CEDRO DE SÃO JOÃO;SE;816
2801900;31372;CUMBE;SE;818
2802007;31399;DIVINA PASTORA;SE;701
2802106;31410;ESTÂNCIA;SE;103
2802205;31437;FEIRA NOVA;SE;1025
2802304;31453;FREI PAULO;SE;1782
2802403;31496;GARARU;SE;1734
2802502;31470;GENERAL MAYNARD;SE;482
2802601;31518;GRACCHO CARDOSO;SE;1060
2802700;31534;ILHA DAS FLORES;SE;640
2802908;31577;ITABAIANA;SE;13118
2803104;31615;ITABI;SE;1032
2803203;31631;ITAPORANGA D'AJUDA;SE;7167
2803302;31658;JAPARATUBA;SE;2552
2803401;31674;JAPOATÃ;SE;1827
2803500;31690;LAGARTO;SE;13424
2803609;31712;LARANJEIRAS;SE;2635
2803708;31739;MACAMBIRA;SE;1116
2803807;31755;MALHADA DOS BOIS;SE;355
2803906;31771;MALHADOR;SE;1956
2804003;31798;MARUIM;SE;1360
2804102;31810;MOITA BONITA;SE;2206
2804201;31836;MONTE ALEGRE DE SERGIPE;SE;1850
2804300;31852;MURIBECA;SE;936
2804409;31879;NEÓPOLIS;SE;1589
2804458;31356;NOSSA SENHORA APARECIDA;SE;1687
2804508;31895;NOSSA SENHORA DA GLÓRIA;SE;5269
2804607;31917;NOSSA SENHORA DAS DORES;SE;3824
2804706;31933;NOSSA SENHORA DE LOURDES;SE;939
2804805;31950;NOSSA SENHORA DO SOCORRO;SE;14339
2804904;31976;PACATUBA;SE;1929
2805000;31992;PEDRA MOLE;SE;485
2805208;32034;PINHÃO;SE;857
2805307;32050;PIRAMBU;SE;1285
2805406;32077;POÇO REDONDO;SE;4029
2805505;32093;POÇO VERDE;SE;3019
2805604;32115;PORTO DA FOLHA;SE;3463
2805703;32131;PROPRIÁ;SE;2339
2805802;32158;RIACHÃO DO DANTAS;SE;42
2805901;32174;RIACHUELO;SE;726
2806008;32190;RIBEIRÓPOLIS;SE;3068
2806107;32212;ROSÁRIO DO CATETE;SE;1166
2806206;32239;SALGADO;SE;3458
2806404;31003;SANTANA DO SÃO FRANCISCO;SE;546
2806503;32298;SANTA ROSA DE LIMA;SE;524
2806602;32310;SANTO AMARO DAS BROTAS;SE;1516
2806701;32336;SÃO CRISTÓVÃO;SE;8706
2806800;32352;SÃO DOMINGOS;SE;1629
2806909;32379;SÃO FRANCISCO;SE;485
2807006;32395;SÃO MIGUEL DO ALEIXO;SE;866
2807105;32417;SIMÃO DIAS;SE;6611
2807204;32433;SIRIRI;SE;1389
2807303;32450;TELHA;SE;448
2900108;33014;ABAÍRA;BA;1592
2900207;33030;ABARÉ;BA;1398
2900306;33057;ACAJUTIBA;BA;682
2900355;33065;ADUSTINA;BA;2027
2900405;33073;ÁGUA FRIA;BA;1327
2900504;33090;ÉRICO CARDOSO;BA;1456
2900603;33111;AIQUARA;BA;357
2900702;33138;ALAGOINHAS;BA;14619
2900801;33154;ALCOBAÇA;BA;2812
2900900;33170;ALMADINA;BA;391
2901007;33197;AMARGOSA;BA;3836
2901106;33219;AMÉLIA RODRIGUES;BA;2570
2901155;30716;AMÉRICA DOURADA;BA;1546
2901205;33235;ANAGÉ;BA;2242
2901304;33251;ANDARAÍ;BA;1519
2901353;33260;ANDORINHA;BA;2834
2901403;33278;ANGICAL;BA;967
2901502;33294;ANGUERA;BA;836
2901601;33316;ANTAS;BA;1280
2901700;33332;ANTÔNIO CARDOSO;BA;1316
2901809;33359;ANTÔNIO GONÇALVES;BA;1322
2901908;33375;APORÁ;BA;656
2901957;33405;APUAREMA;BA;648
2902005;33391;ARACATU;BA;2132
2902054;33383;ARAÇÁS;BA;944
2902104;33413;ARACI;BA;5743
2902203;33430;ARAMARI;BA;1435
2902252;30732;ARATACA;BA;636
2902302;33456;ARATUÍPE;BA;878
2902401;33472;AURELINO LEAL;BA;807
2902500;33499;BAIANÓPOLIS;BA;1421
2902609;33510;BAIXA GRANDE;BA;1761
2902658;33529;BANZAÊ;BA;1494
2902708;33537;BARRA;BA;5662
2902807;33553;BARRA DA ESTIVA;BA;2006
2902906;33570;BARRA DO CHOÇA;BA;2699
2903003;33596;BARRA DO MENDES;BA;2150
2903102;33618;BARRA DO ROCHA;BA;335
2903201;33634;BARREIRAS;BA;13087
2903235;30759;BARRO ALTO;BA;1852
2903276;30775;BARROCAS;BA;1661
2903300;33650;BARRO PRETO;BA;370
2903409;33677;BELMONTE;BA;1984
2903508;33693;BELO CAMPO;BA;1786
2903607;33715;BIRITINGA;BA;1431
2903706;33731;BOA NOVA;BA;1622
2903805;33758;BOA VISTA DO TUPIM;BA;2321
2903904;33774;BOM JESUS DA LAPA;BA;5665
2903953;33782;BOM JESUS DA SERRA;BA;884
2904001;33790;BONINAL;BA;2451
2904050;33804;BONITO;BA;1527
2904100;33812;BOQUIRA;BA;2317
2904209;33839;BOTUPORÃ;BA;934
2904308;33855;BREJÕES;BA;1518
2904407;33871;BREJOLÂNDIA;BA;1181
2904506;33898;BROTAS DE MACAÚBAS;BA;2342
2904605;33910;BRUMADO;BA;10455
2904704;33936;BUERAREMA;BA;1092
2904753;30791;BURITIRAMA;BA;2378
2904803;33952;CAATIBA;BA;502
2904852;33960;CABACEIRAS DO PARAGUAÇU;BA;1907
2904902;33979;CACHOEIRA;BA;3893
2905008;33995;CACULÉ;BA;2997
2905107;34010;CAEM;BA;1242
2905156;34029;CAETANOS;BA;1404
2905206;34037;CAETITÉ;BA;4757
2905305;34053;CAFARNAUM;BA;2161
2905404;34070;CAIRU;BA;1529
2905503;34096;CALDEIRÃO GRANDE;BA;1448
2905602;34118;CAMACAN;BA;1930
2905701;34134;CAMAÇARI;BA;29116
2905800;34150;CAMAMU;BA;2590
2905909;34177;CAMPO ALEGRE DE LOURDES;BA;2723
2906006;34193;CAMPO FORMOSO;BA;5809
2906105;34215;CANÁPOLIS;BA;813
2906204;34231;CANARANA;BA;3070
2906303;34258;CANAVIEIRAS;BA;2730
2906402;34274;CANDEAL;BA;937
2906501;34290;CANDEIAS;BA;6066
2906600;34312;CANDIBA;BA;2429
2906709;34339;CÂNDIDO SALES;BA;2781
2906808;34355;CANSANÇÃO;BA;4192
2906824;30856;CANUDOS;BA;1988
2906857;30813;CAPELA DO ALTO ALEGRE;BA;1193
2906873;30830;CAPIM GROSSO;BA;3696
2906899;34363;CARAÍBAS;BA;1063
2906907;34371;CARAVELAS;BA;2539
2907004;34398;CARDEAL DA SILVA;BA;908
2907103;34410;CARINHANHA;BA;2947
2907202;34436;CASA NOVA;BA;4360
2907301;34452;CASTRO ALVES;BA;3050
2907400;34479;CATOLÂNDIA;BA;601
2907509;34495;CATU;BA;4113
2907558;34509;CATURAMA;BA;998
2907608;34517;CENTRAL;BA;2421
2907707;34533;CHORROCHÓ;BA;788
2907806;34550;CÍCERO DANTAS;BA;3051
2907905;34576;CIPÓ;BA;1836
2908002;34592;COARACI;BA;1357
2908101;34614;COCOS;BA;1617
2908200;34630;CONCEIÇÃO DA FEIRA;BA;2198
2908309;34657;CONCEIÇÃO DO ALMEIDA;BA;2179
2908408;34673;CONCEIÇÃO DO COITÉ;BA;7078
2908507;34690;CONCEIÇÃO DO JACUÍPE;BA;3623
2908606;34711;CONDE;BA;2978
2908705;34738;CONDEÚBA;BA;1637
2908804;34754;CONTENDAS DO SINCORÁ;BA;581
2908903;34770;CORAÇÃO DE MARIA;BA;1996
2909000;34797;CORDEIROS;BA;653
2909109;34819;CORIBE;BA;1902
2909208;34835;CORONEL JOÃO SÁ;BA;1221
2909307;34851;CORRENTINA;BA;3330
2909406;34878;COTEGIPE;BA;1570
2909505;34894;CRAVOLÂNDIA;BA;390
2909604;34916;CRISÓPOLIS;BA;2226
2909703;34932;CRISTÓPOLIS;BA;1562
2909802;34959;CRUZ DAS ALMAS;BA;6150
